#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
4,Thu, Sep 2,Green Bay,W17-13,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Buffalo,L41-7,Cassel  119,Charles  56,Breaston  26
4,Sun, Oct 2,Minnesota,W22-17,Cassel  260,Jones  37,Bowe  107
#6,BYE WEEK
8,Mon, Oct 31,San Diego,W23-20 OT,Cassel  261,Battle  70,Baldwin  82
9,Sun, Nov 6,Miami,L31-3,Cassel  253,Battle  40,Breaston  115
10,Sun, Nov 13,Denver,L17-10,Cassel  93,Battle  61,McCluster  48
12,Sun, Nov 27,Pittsburgh,L13-9,Palko  167,Jones  37,Bowe  69
15,Sun, Dec 18,Green Bay,W19-14,Orton  299,Jones  48,Pope  72
16,Sat, Dec 24,Oakland,L16-13 OT,Orton  300,Battle  56,McCluster  89
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 12,Tampa Bay,L25-0,Box Score
3,Fri, Aug 26,St. Louis,L14-10,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Atlanta,L40-24,Cassel  258,Charles  87,McCluster  82
4,Sun, Sep 30,San Diego,L37-20,Cassel  251,Charles  88,Bowe  108
5,Sun, Oct 7,Baltimore,L9-6,Cassel  92,Charles  140,Bowe  60
#7,BYE WEEK
8,Sun, Oct 28,Oakland,L26-16,Cassel  218,Cassel  35,Bowe  65
11,Sun, Nov 18,Cincinnati,L28-6,Quinn  95,Charles  87,Moeaki  73
12,Sun, Nov 25,Denver,L17-9,Quinn  126,Charles  107,Bowe  41
13,Sun, Dec 2,Carolina,W27-21,Quinn  201,Charles  127,Bowe  64
16,Sun, Dec 23,Indianapolis,L20-13,Quinn  162,Charles  226,Baldwin  64
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,Arizona,W27-17,Box Score
3,Fri, Aug 24,Seattle,L44-14,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Dallas,W17-16,Smith  223,Smith  57,Bowe  56
4,Sun, Sep 29,New York,W31-7,Smith  288,Charles  65,McGrath  64
6,Sun, Oct 13,Oakland,W24-7,Smith  128,Charles  78,Charles  50
7,Sun, Oct 20,Houston,W17-16,Smith  240,Charles  86,McCluster  70
8,Sun, Oct 27,Cleveland,W23-17,Smith  225,Charles  74,McCluster  67
#10,BYE WEEK
12,Sun, Nov 24,San Diego,L41-38,Smith  294,Charles  115,Avery  91
13,Sun, Dec 1,Denver,L35-28,Smith  293,Charles  93,Bowe  56
16,Sun, Dec 22,Indianapolis,L23-7,Smith  153,Charles  106,Bowe  46
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 16,San Francisco,L15-13,Box Score
4,Thu, Aug 29,Green Bay,W30-8,Box Score
