#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
9,Sun, Nov 4,Denver,L31-23,Dalton  299,Green-Ellis  56,Gresham  108
10,Sun, Nov 11,New York,W31-13,Dalton  199,Green-Ellis  50,Green  85
12,Sun, Nov 25,Oakland,W34-10,Dalton  210,Green-Ellis  129,Green  111
14,Sun, Dec 9,Dallas,L20-19,Dalton  206,Green-Ellis  89,Jones  45
17,Sun, Dec 30,Baltimore,W23-17,Dalton  78,Leonard  34,Tate  53
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,New York,W17-6,Box Score
3,Thu, Aug 23,Green Bay,L27-13,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 5,San Diego,L27-10,Dalton  334,Bernard  45,Jones  130
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 16,Pittsburgh,W20-10,Dalton  280,Green-Ellis  75,Gresham Eifert  66
3,Sun, Sep 22,Green Bay,W34-30,Dalton  235,Bernard  50,Sanu  68
5,Sun, Oct 6,New England,W13-6,Dalton  212,Green-Ellis  67,Green  61
8,Sun, Oct 27,New York,W49-9,Dalton  325,Green-Ellis  33,Jones  122
11,Sun, Nov 17,Cleveland,W41-20,Dalton  93,Green-Ellis  62,Bernard  41
#12,BYE WEEK
14,Sun, Dec 8,Indianapolis,W42-28,Dalton  275,Bernard  99,Green  72
16,Sun, Dec 22,Minnesota,W42-14,Dalton  366,Green-Ellis  24,Green  97
17,Sun, Dec 29,Baltimore,W34-17,Dalton  281,Green-Ellis  66,Hawkins  74
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 17,Tennessee,W27-19,Box Score
4,Thu, Aug 29,Indianapolis,W27-10,Box Score
