#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
13,Sun, Dec 4,Kansas City,L10-3,Hanie  133,Barber  44,Knox  53
15,Sun, Dec 18,Seattle,L38-14,Hanie  111,Bell  65,Bell  43
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 13,Buffalo,W10-3,Box Score
4,Thu, Sep 1,Cleveland,W24-14,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Indianapolis,W41-21,Cutler  333,Forte  80,Marshall  119
3,Sun, Sep 23,St. Louis,W23-6,Cutler  183,Bush  55,Marshall  71
#6,BYE WEEK
7,Mon, Oct 22,Detroit,W13-7,Cutler  150,Forte  96,Marshall  81
8,Sun, Oct 28,Carolina,W23-22,Cutler  186,Forte  70,Marshall  98
10,Sun, Nov 11,Houston,L13-6,Campbell  94,Forte  39,Marshall  107
12,Sun, Nov 25,Minnesota,W28-10,Cutler  188,Bush  60,Marshall  92
13,Sun, Dec 2,Seattle,L23-17 OT,Cutler  233,Forte  66,Marshall  165
15,Sun, Dec 16,Green Bay,L21-13,Cutler  135,Forte  69,Forte  64
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,Denver,L31-3,Box Score
2,Sat, Aug 18,Washington,W33-31,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Cincinnati,W24-21,Cutler  242,Forte  50,Marshall  104
2,Sun, Sep 15,Minnesota,W31-30,Cutler  292,Forte  88,Marshall  113
5,Sun, Oct 6,New Orleans,L26-18,Cutler  358,Forte  55,Jeffery  218
6,Thu, Oct 10,New York,W27-21,Cutler  262,Forte  67,Marshall  87
#8,BYE WEEK
10,Sun, Nov 10,Detroit,L21-19,Cutler  250,Forte  33,Marshall  139
11,Sun, Nov 17,Baltimore,W23-20 OT,McCown  216,Forte  83,Jeffery  83
14,Mon, Dec 9,Dallas,W45-28,McCown  348,Forte  102,Marshall  100
17,Sun, Dec 29,Green Bay,L33-28,Cutler  226,Forte  110,Jeffery  80
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 15,San Diego,W33-28,Box Score
4,Thu, Aug 29,Cleveland,L18-16,Box Score
