#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
11,Sun, Nov 22,San Francisco,W30-24,Rodgers  344,Grant  129,Jennings  126
13,Mon, Dec 7,Baltimore,W27-14,Rodgers  263,Grant  41,Finley  79
16,Sun, Dec 27,Seattle,W48-10,Rodgers  237,Grant  97,Jennings  111
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 15,Cleveland,W17-0,Box Score
2,Sat, Aug 22,Buffalo,W31-21,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
SB,Sun, Feb 6,Pittsburgh,W31-25,Rodgers  304,Starks  52,Nelson  140
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Buffalo,W34-7,Rodgers  255,Kuhn  36,Finley  103
4,Sun, Oct 3,Detroit,W28-26,Rodgers  181,Kuhn  39,Driver  89
6,Sun, Oct 17,Miami,L23-20 OT,Rodgers  313,Jackson  53,Jennings  133
7,Sun, Oct 24,Minnesota,W28-24,Rodgers  295,Jackson  58,Jones  107
9,Sun, Nov 7,Dallas,W45-7,Rodgers  289,Kuhn  50,Jones  123
#10,BYE WEEK
13,Sun, Dec 5,San Francisco,W34-16,Rodgers  298,Starks  73,Jennings  122
16,Sun, Dec 26,New York,W45-17,Rodgers  404,Jackson  39,Jennings  142
17,Sun, Jan 2,Chicago,W10-3,Rodgers  229,Rodgers  21,Jennings  97
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Cleveland,L27-24,Box Score
3,Thu, Aug 26,Indianapolis,W59-24,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 15,New York,L37-20,Rodgers  264,Rodgers  66,Driver  45
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Thu, Sep 8,New Orleans,W42-34,Rodgers  312,Starks  57,Jennings  89
4,Sun, Oct 2,Denver,W49-23,Rodgers  408,Starks  63,Jennings  103
6,Sun, Oct 16,St. Louis,W24-3,Rodgers  316,Starks  49,Nelson  104
#8,BYE WEEK
10,Mon, Nov 14,Minnesota,W45-7,Rodgers  250,Starks  63,Finley  67
11,Sun, Nov 20,Tampa Bay,W35-26,Rodgers  299,Starks  38,Nelson  123
14,Sun, Dec 11,Oakland,W46-16,Rodgers  281,Grant  85,Nelson  81
16,Sun, Dec 25,Chicago,W35-21,Rodgers  283,Grant  44,Nelson  115
17,Sun, Jan 1,Detroit,W45-41,Flynn  480,Grant  48,Nelson  162
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 19,Arizona,W28-20,Box Score
4,Thu, Sep 1,Kansas City,W20-19,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 5,Minnesota,W24-10,Rodgers  274,Harris  47,Jennings  61
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,San Francisco,L30-22,Rodgers  303,Rodgers  27,Jones  81
2,Thu, Sep 13,Chicago,W23-10,Rodgers  219,Benson  81,Nelson  84
4,Sun, Sep 30,New Orleans,W28-27,Rodgers  319,Benson  84,Nelson  93
