#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
9,Sun, Nov 8,Houston,W20-17,Manning  318,Addai  63,Clark  119
10,Sun, Nov 15,New England,W35-34,Manning  327,Addai  41,Wayne  126
13,Sun, Dec 6,Tennessee,W27-17,Manning  270,Addai  79,Garcon  136
14,Sun, Dec 13,Denver,W28-16,Manning  220,Addai  67,Addai  49
16,Sun, Dec 27,New York,L29-15,Manning  192,Addai  40,Collie  94
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 14,Minnesota,L13-3,Box Score
2,Thu, Aug 20,Philadelphia,W23-15,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 8,New York,L17-16,Manning  225,Addai  60,Garcon  112
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,New York,W38-14,Manning  255,Addai  92,Wayne  96
5,Sun, Oct 10,Kansas City,W19-9,Manning  244,Addai Hart  50,Wayne  75
#7,BYE WEEK
8,Mon, Nov 1,Houston,W30-17,Manning  268,Hart  84,Garcon  78
10,Sun, Nov 14,Cincinnati,W23-17,Manning  185,Brown  50,Tamme  73
12,Sun, Nov 28,San Diego,L36-14,Manning  285,Brown  24,Garcon  72
13,Sun, Dec 5,Dallas,L38-35 OT,Manning  365,James  18,Wayne  200
15,Sun, Dec 19,Jacksonville,W34-24,Manning  229,Brown  129,Collie  87
17,Sun, Jan 2,Tennessee,W23-20,Manning  264,Rhodes  48,Garcon  78
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sun, Aug 15,San Francisco,L37-17,Box Score
4,Thu, Sep 2,Cincinnati,L30-28,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Cleveland,L27-19,Collins  191,Addai  64,Wayne  66
3,Sun, Sep 25,Pittsburgh,L23-20,Collins  93,Addai  86,Garcon  82
5,Sun, Oct 9,Kansas City,L28-24,Painter  277,Brown  38,Garcon  125
9,Sun, Nov 6,Atlanta,L31-7,Painter  98,Brown  70,Collie  32
10,Sun, Nov 13,Jacksonville,L17-3,Painter  94,Brown  53,Tamme  75
#11,BYE WEEK
12,Sun, Nov 27,Carolina,L27-19,Painter  226,Brown  80,Wayne  122
15,Sun, Dec 18,Tennessee,W27-13,Orlovsky  82,Brown  161,Wayne  33
16,Thu, Dec 22,Houston,W19-16,Orlovsky  244,Addai  59,Wayne  106
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 19,Washington,L16-3,Box Score
3,Fri, Aug 26,Green Bay,L24-21,Box Score
