#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
14,Sun, Dec 12,Tampa Bay,L17-16,McNabb  228,Torain  172,Moss  82
17,Sun, Jan 2,New York,L17-14,Grossman  336,Torain  61,Armstrong  84
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 13,Buffalo,W42-17,Box Score
2,Sat, Aug 21,Baltimore,L23-3,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,New York,W28-14,Grossman  305,Hightower  72,Davis  105
2,Sun, Sep 18,Arizona,W22-21,Grossman  291,Hightower  96,Davis  86
#5,BYE WEEK
6,Sun, Oct 16,Philadelphia,L20-13,Grossman  143,Torain  22,Davis  95
9,Sun, Nov 6,San Francisco,L19-11,Beck  254,Helu  41,Helu  105
11,Sun, Nov 20,Dallas,L27-24 OT,Grossman  292,Helu  35,Gaffney  115
13,Sun, Dec 4,New York,L34-19,Grossman  221,Helu  100,Davis  99
14,Sun, Dec 11,New England,L34-27,Grossman  252,Helu  126,Stallworth  96
16,Sat, Dec 24,Minnesota,L33-26,Grossman  284,Royster  132,Gaffney  77
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 12,Pittsburgh,W16-7,Box Score
4,Thu, Sep 1,Tampa Bay,W29-24,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 6,Seattle,L24-14,Griffin III  84,Morris  80,Garcon  50
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 23,Cincinnati,L38-31,Griffin III  221,Morris  78,Davis  90
5,Sun, Oct 7,Atlanta,L24-17,Cousins  111,Morris  115,Moss  80
6,Sun, Oct 14,Minnesota,W38-26,Griffin III  182,Griffin III  138,Moss Davis  46
9,Sun, Nov 4,Carolina,L21-13,Griffin III  215,Morris  76,Paulsen  59
#10,BYE WEEK
11,Sun, Nov 18,Philadelphia,W31-6,Griffin III  200,Griffin III  84,Moss  61
13,Mon, Dec 3,New York,W17-16,Griffin III  163,Morris  124,Garcon  106
14,Sun, Dec 9,Baltimore,W31-28 OT,Griffin III  242,Morris  129,Garcon  83
17,Sun, Dec 30,Dallas,W28-18,Griffin III  100,Morris  200,Garcon  46
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 25,Indianapolis,W30-17,Box Score
4,Wed, Aug 29,Tampa Bay,W30-3,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 9,Philadelphia,L33-27,Griffin III  329,Morris  45,Hankerson  80
3,Sun, Sep 22,Detroit,L27-20,Griffin III  326,Morris  73,Moss  77
#5,BYE WEEK
7,Sun, Oct 20,Chicago,W45-41,Griffin III  298,Morris  95,Reed  134
9,Sun, Nov 3,San Diego,W30-24 OT,Griffin III  291,Morris  121,Garcon  172
12,Mon, Nov 25,San Francisco,L27-6,Griffin III  118,Morris  52,Garcon  48
13,Sun, Dec 1,New York,L24-17,Griffin III  207,Griffin III  88,Garcon  61
14,Sun, Dec 8,Kansas City,L45-10,Griffin III  164,Morris  31,Robinson  67
16,Sun, Dec 22,Dallas,L24-23,Cousins  197,Morris  88,Garcon  144
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 19,Pittsburgh,W24-13,Box Score
3,Sat, Aug 24,Buffalo,W30-7,Box Score
