#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
6,Sun, Oct 17,Dallas,W24-21,Favre  118,Peterson  73,Moss  55
9,Sun, Nov 7,Arizona,W27-24 OT,Favre  446,Peterson  81,Harvin  126
11,Sun, Nov 21,Green Bay,L31-3,Favre  208,Peterson  72,Rice  56
13,Sun, Dec 5,Buffalo,W38-14,Jackson  187,Peterson  107,Rice  105
14,Mon, Dec 13,New York,L21-3,Jackson  118,Peterson  26,Rice  60
15,Mon, Dec 20,Chicago,L40-14,Webb  129,Gerhart  77,Harvin  72
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 28,Seattle,W24-13,Box Score
4,Thu, Sep 2,Denver,W31-24,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Tampa Bay,L24-20,McNabb  228,Peterson  120,Harvin  76
3,Sun, Sep 25,Detroit,L26-23 OT,McNabb  211,Peterson  78,Jenkins  88
5,Sun, Oct 9,Arizona,W34-10,McNabb  169,Peterson  122,Aromashodu  81
7,Sun, Oct 23,Green Bay,L33-27,Ponder  219,Peterson  175,Jenkins  111
#9,BYE WEEK
11,Sun, Nov 20,Oakland,L27-21,Ponder  211,Ponder  71,Harvin  73
13,Sun, Dec 4,Denver,L35-32,Ponder  381,Gerhart  91,Harvin  156
15,Sun, Dec 18,New Orleans,L42-20,Ponder  120,Peterson  60,Gerhart  46
17,Sun, Jan 1,Chicago,L17-13,Webb  200,Gerhart  67,Harvin  115
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 27,Dallas,L23-17,Box Score
4,Thu, Sep 1,Houston,W28-0,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Jacksonville,W26-23 OT,Ponder  270,Peterson  84,Harvin  84
3,Sun, Sep 23,San Francisco,W24-13,Ponder  198,Peterson  86,Harvin  89
5,Sun, Oct 7,Tennessee,W30-7,Ponder  258,Peterson  88,Harvin  108
7,Sun, Oct 21,Arizona,W21-14,Ponder  58,Peterson  153,Harvin  37
8,Thu, Oct 25,Tampa Bay,L36-17,Ponder  251,Peterson  123,Harvin  90
10,Sun, Nov 11,Detroit,W34-24,Ponder  221,Peterson  171,Wright  65
#11,BYE WEEK
14,Sun, Dec 9,Chicago,W21-14,Ponder  91,Peterson  154,Jenkins  36
17,Sun, Dec 30,Green Bay,W37-34,Ponder  234,Peterson  199,Wright  90
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 17,Buffalo,W36-14,Box Score
3,Fri, Aug 24,San Diego,L12-10,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,Cleveland,L31-27,Ponder  228,Peterson  88,Patterson  49
4,Sun, Sep 29,Pittsburgh,W34-27,Cassel  248,Peterson  140,Simpson  124
#5,BYE WEEK
6,Sun, Oct 13,Carolina,L35-10,Cassel  241,Peterson  62,Rudolph  97
8,Sun, Oct 27,Green Bay,L44-31,Ponder  145,Peterson  60,Rudolph  51
10,Thu, Nov 7,Washington,W34-27,Ponder  174,Peterson  75,Carlson  98
13,Sun, Dec 1,Chicago,W23-20 OT,Cassel  243,Peterson  211,Jennings  78
15,Sun, Dec 15,Philadelphia,W48-30,Cassel  382,Asiata  51,Jennings  163
17,Sun, Dec 29,Detroit,W14-13,Cassel  189,Asiata  115,Jennings  44
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Houston,L27-13,Box Score
4,Thu, Aug 29,Tennessee,W24-23,Box Score
