#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
4,Sun, Oct 3,Arizona,W41-10,Rivers  241,Tolbert  100,Gates  144
7,Sun, Oct 24,New England,L23-20,Rivers  336,Mathews  15,Crayton  82
8,Sun, Oct 31,Tennessee,W33-25,Rivers  305,Tolbert  63,Gates  123
#10,BYE WEEK
11,Mon, Nov 22,Denver,W35-14,Rivers  233,Tolbert  111,Crayton  105
13,Sun, Dec 5,Oakland,L28-13,Rivers  280,Tolbert  16,Gates  73
14,Sun, Dec 12,Kansas City,W31-0,Rivers  226,Tolbert  66,Floyd Sproles  51
15,Thu, Dec 16,San Francisco,W34-7,Rivers  273,Mathews  56,Jackson  112
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Chicago,W25-10,Box Score
2,Sat, Aug 21,Dallas,L16-14,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Minnesota,W24-17,Rivers  335,Mathews  45,Gates  74
3,Sun, Sep 25,Kansas City,W20-17,Rivers  266,Mathews  98,Jackson  63
4,Sun, Oct 2,Miami,W26-16,Rivers  307,Mathews  81,Jackson  108
#6,BYE WEEK
9,Sun, Nov 6,Green Bay,L45-38,Rivers  385,Tolbert  83,Jackson  141
10,Thu, Nov 10,Oakland,L24-17,Rivers  274,Tolbert  36,Brown  97
12,Sun, Nov 27,Denver,L16-13 OT,Rivers  188,Mathews  137,Brown  50
14,Sun, Dec 11,Buffalo,W37-10,Rivers  240,Mathews  114,Gates  68
15,Sun, Dec 18,Baltimore,W34-14,Rivers  270,Mathews  90,Floyd  96
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 11,Seattle,L24-17,Box Score
4,Thu, Sep 1,San Francisco,L20-17,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Tennessee,W38-10,Rivers  284,Battle  69,Floyd  109
3,Sun, Sep 23,Atlanta,L27-3,Rivers  173,Battle  55,Floyd  52
