#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Cincinnati,W38-24,Brady  258,Taylor  71,Welker  64
3,Sun, Sep 26,Buffalo,W38-30,Brady  252,Green-Ellis  98,Hernandez  65
#5,BYE WEEK
6,Sun, Oct 17,Baltimore,W23-20 OT,Brady  292,Woodhead  63,Branch  98
8,Sun, Oct 31,Minnesota,W28-18,Brady  240,Green-Ellis  112,Tate  101
11,Sun, Nov 21,Indianapolis,W31-28,Brady  186,Green-Ellis  96,Branch  70
13,Mon, Dec 6,New York,W45-3,Brady  326,Green-Ellis  72,Woodhead  104
15,Sun, Dec 19,Green Bay,W31-27,Brady  163,Woodhead  59,Welker  42
17,Sun, Jan 2,Miami,W38-7,Brady  199,Green-Ellis  80,Gronkowski  102
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 12,New Orleans,W27-24,Box Score
3,Thu, Aug 26,St. Louis,L36-35,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 14,Denver,W45-10,Brady  363,Hernandez  61,Gronkowski  145
CONF,Sun, Jan 22,Baltimore,W23-20,Brady  239,Green-Ellis  68,Gronkowski  87
SB,Sun, Feb 5,New York,L21-17,Brady  276,Green-Ellis  44,Hernandez  67
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,San Diego,W35-21,Brady  423,Green-Ellis  70,Branch  129
5,Sun, Oct 9,New York,W30-21,Brady  321,Green-Ellis  136,Welker  124
6,Sun, Oct 16,Dallas,W20-16,Brady  289,Green-Ellis  58,Gronkowski  74
#7,BYE WEEK
9,Sun, Nov 6,New York,L24-20,Brady  342,Green-Ellis  52,Welker  136
11,Mon, Nov 21,Kansas City,W34-3,Brady  234,Green-Ellis  81,Gronkowski  96
13,Sun, Dec 4,Indianapolis,W31-24,Brady  289,Ridley  33,Welker  110
16,Sat, Dec 24,Miami,W27-24,Brady  304,Ridley  64,Welker  138
17,Sun, Jan 1,Buffalo,W49-21,Brady  338,Ridley  81,Hernandez  138
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 11,Jacksonville,W47-12,Box Score
4,Thu, Sep 1,New York,L18-17,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 13,Houston,W41-28,Brady  344,Ridley  82,Welker  131
CONF,Sun, Jan 20,Baltimore,L28-13,Brady  320,Ridley  70,Welker  117
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Arizona,L20-18,Brady  316,Ridley  71,Welker  95
5,Sun, Oct 7,Denver,W31-21,Brady  223,Ridley  151,Welker  104
7,Sun, Oct 21,New York,W29-26 OT,Brady  259,Ridley  65,Gronkowski  78
#9,BYE WEEK
10,Sun, Nov 11,Buffalo,W37-31,Brady  237,Ridley  98,Welker  74
11,Sun, Nov 18,Indianapolis,W59-24,Brady  331,Edelman  47,Gronkowski  137
14,Mon, Dec 10,Houston,W42-14,Brady  296,Ridley  72,Lloyd  89
15,Sun, Dec 16,San Francisco,L41-34,Brady  443,Woodhead  61,Lloyd  190
17,Sun, Dec 30,Miami,W28-0,Brady  284,Ridley  74,Welker  94
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,New Orleans,W7-6,Box Score
2,Mon, Aug 20,Philadelphia,L27-17,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 11,Indianapolis,W43-22,Brady  198,Blount  166,Edelman  84
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Thu, Sep 12,New York,W13-10,Brady  185,Ridley  40,Edelman  78
