#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
12,Sun, Nov 27,New England,L38-20,Young  400,Young  40,Avant  110
15,Sun, Dec 18,New York,W45-19,Vick  274,McCoy  102,Celek  156
17,Sun, Jan 1,Washington,W34-10,Vick  335,Lewis  58,Maclin  105
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 11,Baltimore,W13-6,Box Score
3,Thu, Aug 25,Cleveland,W24-14,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Baltimore,W24-23,Vick  371,McCoy  81,Celek  157
4,Sun, Sep 30,New York,W19-17,Vick  241,McCoy  123,Jackson  99
6,Sun, Oct 14,Detroit,L26-23 OT,Vick  311,Vick  59,Maclin  130
#7,BYE WEEK
8,Sun, Oct 28,Atlanta,L30-17,Vick  191,McCoy  45,Jackson  59
10,Sun, Nov 11,Dallas,L38-23,Foles  219,McCoy  82,Maclin  93
12,Mon, Nov 26,Carolina,L30-22,Foles  119,Brown  178,Maclin  55
15,Thu, Dec 13,Cincinnati,L34-13,Foles  180,Brown  34,Maclin  73
16,Sun, Dec 23,Washington,L27-20,Foles  345,McCoy  45,Maclin  116
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,Pittsburgh,W24-23,Box Score
4,Thu, Aug 30,New York,W28-10,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 4,New Orleans,L26-24,Foles  195,McCoy  77,Cooper  68
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,San Diego,L33-30,Vick  428,McCoy  53,Jackson  193
3,Thu, Sep 19,Kansas City,L26-16,Vick  201,McCoy  158,Avant  87
7,Sun, Oct 20,Dallas,L17-3,Barkley  129,McCoy  55,Cooper  88
8,Sun, Oct 27,New York,L15-7,Barkley  158,McCoy  48,Jackson  63
11,Sun, Nov 17,Washington,W24-16,Foles  298,McCoy  77,Jackson  82
#12,BYE WEEK
13,Sun, Dec 1,Arizona,W24-21,Foles  237,McCoy  79,Ertz  68
14,Sun, Dec 8,Detroit,W34-20,Foles  179,McCoy  217,Cooper  74
16,Sun, Dec 22,Chicago,W54-11,Foles  230,McCoy  133,Celek  58
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,New England,L31-22,Box Score
2,Thu, Aug 15,Carolina,W14-9,Box Score
