#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
6,Mon, Oct 17,Miami,W24-6,Sanchez  201,Greene  74,Holmes  63
7,Sun, Oct 23,San Diego,W27-21,Sanchez  173,Greene  112,Keller  53
#8,BYE WEEK
10,Sun, Nov 13,New England,L37-16,Sanchez  306,Greene  61,Holmes  93
12,Sun, Nov 27,Buffalo,W28-24,Sanchez  180,Greene  78,Keller  61
14,Sun, Dec 11,Kansas City,W37-10,Sanchez  181,Greene  129,Greene  58
16,Sat, Dec 24,New York,L29-14,Sanchez  258,Greene  58,Keller  77
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sun, Aug 21,Cincinnati,W27-7,Box Score
4,Thu, Sep 1,Philadelphia,L24-14,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Buffalo,W48-28,Sanchez  266,Greene  94,Hill  89
4,Sun, Sep 30,San Francisco,L34-0,Sanchez  103,Greene  34,Schilens  45
5,Mon, Oct 8,Houston,L23-17,Sanchez  230,Greene  26,Kerley  94
6,Sun, Oct 14,Indianapolis,W35-9,Sanchez  82,Greene  161,Kerley  24
8,Sun, Oct 28,Miami,L30-9,Sanchez  283,Greene  77,Gates  82
#9,BYE WEEK
12,Thu, Nov 22,New England,L49-19,Sanchez  301,Greene  71,Kerley  86
13,Sun, Dec 2,Arizona,W7-6,Sanchez  97,Greene  104,Hill  40
16,Sun, Dec 23,San Diego,L27-17,McElroy  185,Greene  38,Gates  65
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 18,New York,L26-3,Box Score
3,Sun, Aug 26,Carolina,L17-12,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Tampa Bay,W18-17,Smith  256,Smith  47,Winslow  79
3,Sun, Sep 22,Buffalo,W27-20,Smith  331,Powell  149,Holmes  154
6,Sun, Oct 13,Pittsburgh,L19-6,Smith  201,Powell  30,Cumberland  59
7,Sun, Oct 20,New England,W30-27 OT,Smith  233,Ivory  104,Kerley  97
9,Sun, Nov 3,New Orleans,W26-20,Smith  115,Ivory  139,Salas  57
#10,BYE WEEK
13,Sun, Dec 1,Miami,L23-3,Simms  79,Ivory  61,Nelson  37
14,Sun, Dec 8,Oakland,W37-27,Smith  219,Ivory  76,Winslow  61
16,Sun, Dec 22,Cleveland,W24-13,Smith  214,Ivory  109,Kerley  70
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 17,Jacksonville,W37-13,Box Score
4,Thu, Aug 29,Philadelphia,W27-20,Box Score
