#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
12,Sun, Nov 27,Minnesota,W24-14,Ryan  262,Turner  60,White  120
15,Thu, Dec 15,Jacksonville,W41-14,Ryan  224,Turner  61,White  135
17,Sun, Jan 1,Tampa Bay,W45-24,Ryan  106,Turner  172,Jones  76
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 12,Miami,L28-23,Box Score
4,Thu, Sep 1,Baltimore,L21-7,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 13,Seattle,W30-28,Ryan  250,Turner  98,White  76
CONF,Sun, Jan 20,San Francisco,L28-24,Ryan  396,Rodgers  32,Jones  182
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 17,Denver,W27-21,Ryan  219,Turner  42,White  102
4,Sun, Sep 30,Carolina,W30-28,Ryan  369,Turner  103,White  169
6,Sun, Oct 14,Oakland,W23-20,Ryan  249,Turner  33,White  72
#7,BYE WEEK
9,Sun, Nov 4,Dallas,W19-13,Ryan  342,Turner  102,Jones  129
11,Sun, Nov 18,Arizona,W23-19,Ryan  301,Turner  46,White  123
13,Thu, Nov 29,New Orleans,W23-13,Ryan  165,Turner  83,Gonzalez  58
15,Sun, Dec 16,New York,W34-0,Ryan  270,Turner  52,Douglas  83
17,Sun, Dec 30,Tampa Bay,L22-17,Ryan  238,Rodgers  28,Jones  56
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,Baltimore,L31-17,Box Score
2,Thu, Aug 16,Cincinnati,L24-19,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,St. Louis,W31-24,Ryan  374,Snelling  19,Jones  182
4,Sun, Sep 29,New England,L30-23,Ryan  421,Rodgers  32,Gonzalez  149
5,Mon, Oct 7,New York,L30-28,Ryan  319,Rodgers  43,Jones  99
#6,BYE WEEK
7,Sun, Oct 20,Tampa Bay,W31-23,Ryan  273,Rodgers  16,Douglas  149
10,Sun, Nov 10,Seattle,L33-10,Ryan  172,Rodgers  31,Douglas  49
12,Thu, Nov 21,New Orleans,L17-13,Ryan  292,Jackson  63,Douglas  79
15,Sun, Dec 15,Washington,W27-26,Ryan  210,Jackson  38,Gonzalez  62
17,Sun, Dec 29,Carolina,L21-20,Ryan  280,Jackson  41,White  91
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 8,Cincinnati,L34-10,Box Score
4,Thu, Aug 29,Jacksonville,L20-16,Box Score
