#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#11,BYE WEEK
13,Sun, Dec 2,Houston,L24-10,Locker  309,Johnson  51,Washington  96
15,Mon, Dec 17,New York,W14-10,Locker  149,Johnson  122,Washington  62
17,Sun, Dec 30,Jacksonville,W38-20,Locker  152,Johnson  56,Hawkins  42
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Thu, Aug 23,Arizona,W32-27,Box Score
4,Thu, Aug 30,New Orleans,W10-6,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,San Diego,W20-17,Locker  299,Johnson  90,Washington  131
4,Sun, Sep 29,New York,W38-13,Locker  149,Battle  42,Washington  105
5,Sun, Oct 6,Kansas City,L26-17,Fitzpatrick  247,Fitzpatrick  50,Wright  74
7,Sun, Oct 20,San Francisco,L31-17,Locker  326,Johnson  39,Wright  98
#8,BYE WEEK
10,Sun, Nov 10,Jacksonville,L29-27,Fitzpatrick  264,Johnson  30,Wright  78
11,Thu, Nov 14,Indianapolis,L30-27,Fitzpatrick  222,Johnson  86,Walker  91
15,Sun, Dec 15,Arizona,L37-34 OT,Fitzpatrick  402,Johnson  40,Wright  150
17,Sun, Dec 29,Houston,W16-10,Fitzpatrick  166,Johnson  127,Wright  50
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 8,Washington,L22-21,Box Score
3,Sat, Aug 24,Atlanta,W27-16,Box Score
