#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
16,Sun, Dec 26,Detroit,L34-27,Henne  278,Williams  71,Marshall  102
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Tampa Bay,W10-7,Box Score
3,Fri, Aug 27,Atlanta,L16-6,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 12,New England,L38-24,Henne  416,Henne  59,Marshall  139
2,Sun, Sep 18,Houston,L23-13,Henne  170,Thomas  107,Marshall  79
#5,BYE WEEK
7,Sun, Oct 23,Denver,L18-15 OT,Moore  197,Thomas  53,Marshall  61
10,Sun, Nov 13,Washington,W20-9,Moore  209,Bush  47,Marshall  98
11,Sun, Nov 20,Buffalo,W35-8,Moore  160,Thomas  50,Clay  69
13,Sun, Dec 4,Oakland,W34-14,Moore  162,Bush  100,Fasano  66
14,Sun, Dec 11,Philadelphia,L26-10,Moore  95,Bush  103,Fasano  56
17,Sun, Jan 1,New York,W19-17,Moore  135,Slaton  55,Marshall  50
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 19,Carolina,W20-10,Box Score
4,Thu, Sep 1,Dallas,W17-3,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Oakland,W35-13,Tannehill  200,Bush  172,Hartline  111
3,Sun, Sep 23,New York,L23-20 OT,Tannehill  196,Thomas  69,Bess  86
6,Sun, Oct 14,St. Louis,W17-14,Tannehill  185,Bush  17,Moore  46
#7,BYE WEEK
10,Sun, Nov 11,Tennessee,L37-3,Tannehill  217,Bush Thomas  21,Hartline  79
12,Sun, Nov 25,Seattle,W24-21,Tannehill  253,Bush  87,Bess  129
13,Sun, Dec 2,New England,L23-16,Tannehill  186,Bush  64,Hartline  84
15,Sun, Dec 16,Jacksonville,W24-3,Tannehill  220,Bush  104,Hartline  77
16,Sun, Dec 23,Buffalo,W24-10,Tannehill  130,Miller  73,Bush  42
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,Tampa Bay,L20-7,Box Score
3,Fri, Aug 24,Atlanta,L23-6,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,Atlanta,W27-23,Tannehill  236,Miller  62,Hartline  56
5,Sun, Oct 6,Baltimore,L26-23,Tannehill  307,Miller  15,Wallace  105
#6,BYE WEEK
7,Sun, Oct 20,Buffalo,L23-21,Tannehill  194,Thomas  60,Wallace  76
9,Thu, Oct 31,Cincinnati,W22-20 OT,Tannehill  208,Miller  105,Wallace  82
11,Sun, Nov 17,San Diego,W20-16,Tannehill  268,Thomas  57,Clay  90
12,Sun, Nov 24,Carolina,L20-16,Tannehill  310,Tannehill  36,Wallace  127
15,Sun, Dec 15,New England,W24-20,Tannehill  312,Miller  61,Wallace  105
17,Sun, Dec 29,New York,L20-7,Tannehill  204,Miller  73,Matthews  58
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 24,Tampa Bay,L17-16,Box Score
4,Thu, Aug 29,New Orleans,W24-21,Box Score
