#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sat, Aug 20,Buffalo,W24-10,Box Score
3,Sat, Aug 27,Seattle,W23-20,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 12,Baltimore,L38-35 2OT,Manning  290,Hillman  83,Decker  84
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Pittsburgh,W31-19,Manning  253,McGahee  64,Thomas  110
3,Sun, Sep 23,Houston,L31-25,Manning  330,McGahee  36,Decker  136
4,Sun, Sep 30,Oakland,W37-6,Manning  338,McGahee  112,Thomas  103
#7,BYE WEEK
8,Sun, Oct 28,New Orleans,W34-14,Manning  305,McGahee  122,Thomas  137
11,Sun, Nov 18,San Diego,W30-23,Manning  270,McGahee  55,Stokley  55
13,Sun, Dec 2,Tampa Bay,W31-23,Manning  242,Moreno  69,Thomas  99
16,Sun, Dec 23,Cleveland,W34-12,Manning  339,Moreno  78,Thomas  102
17,Sun, Dec 30,Kansas City,W38-3,Manning  304,Ball  66,Thomas  122
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 18,Seattle,L30-10,Box Score
3,Sun, Aug 26,San Francisco,L29-24,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 12,San Diego,W24-17,Manning  230,Moreno  82,Thomas  76
CONF,Sun, Jan 19,New England,W26-16,Manning  400,Moreno  59,Thomas  134
SB,Sun, Feb 2,Seattle,L43-8,Manning  280,Moreno  17,Thomas  118
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Thu, Sep 5,Baltimore,W49-27,Manning  462,Moreno  28,Thomas  161
3,Mon, Sep 23,Oakland,W37-21,Manning  374,Hillman  66,Decker  133
4,Sun, Sep 29,Philadelphia,W52-20,Manning  327,Moreno  78,Decker  88
6,Sun, Oct 13,Jacksonville,W35-19,Manning  295,Moreno  42,Thomas  78
8,Sun, Oct 27,Washington,W45-21,Manning  354,Moreno  43,Moreno  89
#9,BYE WEEK
11,Sun, Nov 17,Kansas City,W27-17,Manning  323,Moreno  79,Thomas  121
14,Sun, Dec 8,Tennessee,W51-28,Manning  397,Moreno  78,Decker  117
15,Thu, Dec 12,San Diego,L27-20,Manning  289,Moreno  19,Caldwell  59
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 24,St. Louis,W27-26,Box Score
4,Thu, Aug 29,Arizona,L32-24,Box Score
