#2002 Postseason Schedule
6,Sun, Oct 17,Oakland,W17-9,Smith  196,Gore  149,Crabtree  57
8,Sun, Oct 31,Denver,W24-16,Smith  196,Gore  118,Walker  85
#9,BYE WEEK
10,Sun, Nov 14,St. Louis,W23-20 OT,Smith  356,Gore  87,Walker  80
11,Sun, Nov 21,Tampa Bay,L21-0,Smith  148,Smith  45,Morgan  51
14,Sun, Dec 12,Seattle,W40-21,Smith  255,Dixon  60,Westbrook  87
17,Sun, Jan 2,Arizona,W38-7,Smith  276,Westbrook  79,Davis  96
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sun, Aug 22,Minnesota,W15-10,Box Score
4,Thu, Sep 2,San Diego,W17-14,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 14,New Orleans,W36-32,Smith  299,Gore  89,Davis  180
CONF,Sun, Jan 22,New York,L20-17 OT,Smith  196,Gore  74,Davis  112
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Seattle,W33-17,Smith  124,Gore  59,Davis  47
2,Sun, Sep 18,Dallas,L27-24 OT,Smith  179,Gore  47,Walker Ginn  38
5,Sun, Oct 9,Tampa Bay,W48-3,Smith  170,Gore  125,Morgan  75
#7,BYE WEEK
8,Sun, Oct 30,Cleveland,W20-10,Smith  177,Gore  134,Crabtree  54
10,Sun, Nov 13,New York,W27-20,Smith  242,Hunter  40,Walker  69
11,Sun, Nov 20,Arizona,W23-7,Smith  267,Gore  88,Crabtree  120
13,Sun, Dec 4,St. Louis,W26-0,Smith  274,Gore  73,Crabtree  96
15,Mon, Dec 19,Pittsburgh,W20-3,Smith  187,Gore  65,Davis  72
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 20,Oakland,W17-3,Box Score
3,Sat, Aug 27,Houston,L30-7,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 12,Green Bay,W45-31,Kaepernick  263,Kaepernick  181,Crabtree  119
SB,Sun, Feb 3,Baltimore,L34-31,Kaepernick  302,Gore  110,Crabtree  109
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Detroit,W27-19,Smith  226,Gore  89,Davis  73
5,Sun, Oct 7,Buffalo,W45-3,Smith  303,Gore  106,Crabtree  113
6,Sun, Oct 14,New York,L26-3,Smith  200,Gore  36,Moss  75
7,Thu, Oct 18,Seattle,W13-6,Smith  140,Gore  131,Gore  51
#9,BYE WEEK
10,Sun, Nov 11,St. Louis,T24-24 OT,Kaepernick  117,Gore  97,Crabtree  70
11,Mon, Nov 19,Chicago,W32-7,Kaepernick  243,Gore  78,Davis  83
14,Sun, Dec 9,Miami,W27-13,Kaepernick  185,Gore  63,Crabtree  93
17,Sun, Dec 30,Arizona,W27-13,Kaepernick  276,Gore  68,Crabtree  172
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,Minnesota,W17-6,Box Score
4,Thu, Aug 30,San Diego,W35-3,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Green Bay,W34-28,Kaepernick  412,Gore  44,Boldin  208
3,Sun, Sep 22,Indianapolis,L27-7,Kaepernick  150,Gore  82,Boldin  67
5,Sun, Oct 6,Houston,W34-3,Kaepernick  113,Gore  81,Davis  88
6,Sun, Oct 13,Arizona,W32-20,Kaepernick  252,Gore  101,Davis  180
#9,BYE WEEK
10,Sun, Nov 10,Carolina,L10-9,Kaepernick  91,Gore  82,Manningham  30
13,Sun, Dec 1,St. Louis,W23-13,Kaepernick  275,Gore  42,Boldin  98
14,Sun, Dec 8,Seattle,W19-17,Kaepernick  175,Gore  110,Boldin  93
16,Mon, Dec 23,Atlanta,W34-24,Kaepernick  197,Gore  97,Crabtree  102
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 8,Denver,L10-6,Box Score
3,Sun, Aug 25,Minnesota,W34-14,Box Score
