#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
17,Sun, Jan 2,Jacksonville,W34-17,Schaub  253,Foster  180,Jones  70
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 28,Dallas,W23-7,Box Score
4,Thu, Sep 2,Tampa Bay,L24-17,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 7,Cincinnati,W31-10,Yates  159,Foster  153,Johnson  90
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Indianapolis,W34-7,Schaub  220,Tate  116,Johnson  95
4,Sun, Oct 2,Pittsburgh,W17-10,Schaub  138,Foster  155,Daniels  69
5,Sun, Oct 9,Oakland,L25-20,Schaub  416,Foster  68,Foster  116
8,Sun, Oct 30,Jacksonville,W24-14,Schaub  225,Foster  112,Walter  70
9,Sun, Nov 6,Cleveland,W30-12,Schaub  119,Foster  124,Daniels  32
#11,BYE WEEK
13,Sun, Dec 4,Atlanta,W17-10,Yates  188,Foster  111,Johnson  97
15,Sun, Dec 18,Carolina,L28-13,Yates  212,Foster  109,Foster  58
17,Sun, Jan 1,Tennessee,L23-22,Delhomme  211,Tate  97,Casey  91
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 15,New York,W20-16,Box Score
2,Sat, Aug 20,New Orleans,W27-14,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 5,Cincinnati,W19-13,Schaub  262,Foster  140,Daniels  91
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Miami,W30-10,Schaub  266,Foster  79,Johnson  119
4,Sun, Sep 30,Tennessee,W38-14,Schaub  202,Foster  86,Daniels  72
6,Sun, Oct 14,Green Bay,L42-24,Schaub  232,Forsett  47,Johnson  75
7,Sun, Oct 21,Baltimore,W43-13,Schaub  256,Foster  98,Johnson  86
