#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 23,New England,W31-30,Flacco  382,Rice  101,Smith  127
4,Thu, Sep 27,Cleveland,W23-16,Flacco  356,Rice  49,Boldin  131
6,Sun, Oct 14,Dallas,W31-29,Flacco  234,Rice  63,Boldin  98
#8,BYE WEEK
10,Sun, Nov 11,Oakland,W55-20,Flacco  341,Rice  35,Pitta Smith  67
13,Sun, Dec 2,Pittsburgh,L23-20,Flacco  188,Rice  78,Boldin  81
15,Sun, Dec 16,Denver,L34-17,Flacco  254,Rice  38,Pitta  125
16,Sun, Dec 23,New York,W33-14,Flacco  309,Pierce  123,Boldin  93
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 17,Detroit,L27-12,Box Score
3,Thu, Aug 23,Jacksonville,W48-17,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Cleveland,W14-6,Flacco  211,Pierce  57,Smith  85
3,Sun, Sep 22,Houston,W30-9,Flacco  171,Pierce  65,Smith  92
6,Sun, Oct 13,Green Bay,L19-17,Flacco  342,Rice  34,Doss  99
#8,BYE WEEK
10,Sun, Nov 10,Cincinnati,W20-17 OT,Flacco  140,Pierce  31,Smith  46
12,Sun, Nov 24,New York,W19-3,Flacco  273,Rice Pierce  30,Jones  103
13,Thu, Nov 28,Pittsburgh,W22-20,Flacco  251,Pierce  35,Smith  93
14,Sun, Dec 8,Minnesota,W29-26,Flacco  245,Rice  67,Brown  92
16,Sun, Dec 22,New England,L41-7,Flacco  260,Rice  40,Smith  69
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 15,Atlanta,W27-23,Box Score
3,Thu, Aug 22,Carolina,L34-27,Box Score
