#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
12,Thu, Nov 24,Green Bay,L27-15,Stafford  276,Morris  39,Morris  81
14,Sun, Dec 11,Minnesota,W34-28,Stafford  227,Williams  43,Young  87
16,Sat, Dec 24,San Diego,W38-10,Stafford  373,Smith  49,Johnson  102
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 12,Cincinnati,W34-3,Box Score
3,Sat, Aug 27,New England,W34-10,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,St. Louis,W27-23,Stafford  355,Smith  62,Johnson  111
4,Sun, Sep 30,Minnesota,L20-13,Stafford  319,Leshoure  26,Bell  72
#5,BYE WEEK
8,Sun, Oct 28,Seattle,W28-24,Stafford  352,Leshoure  46,Young  100
11,Sun, Nov 18,Green Bay,L24-20,Stafford  266,Leshoure  84,Johnson  143
12,Thu, Nov 22,Houston,L34-31 OT,Stafford  441,Bell  47,Johnson  140
13,Sun, Dec 2,Indianapolis,L35-33,Stafford  313,Bell  81,Johnson  171
16,Sat, Dec 22,Atlanta,L31-18,Stafford  443,Leshoure  46,Johnson  225
17,Sun, Dec 30,Chicago,L26-24,Stafford  272,Leshoure  57,Johnson  72
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 10,Cleveland,L19-17,Box Score
4,Thu, Aug 30,Buffalo,W38-32,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Minnesota,W34-24,Stafford  357,Bush  90,Bush  101
4,Sun, Sep 29,Chicago,W40-32,Stafford  242,Bush  139,Durham  58
7,Sun, Oct 20,Cincinnati,L27-24,Stafford  357,Bush  50,Johnson  155
8,Sun, Oct 27,Dallas,W31-30,Stafford  488,Bush  92,Johnson  329
#9,BYE WEEK
12,Sun, Nov 24,Tampa Bay,L24-21,Stafford  297,Bush  83,Johnson  115
13,Thu, Nov 28,Green Bay,W40-10,Stafford  330,Bush  117,Johnson  101
15,Mon, Dec 16,Baltimore,L18-16,Stafford  235,Bush  86,Johnson  98
16,Sun, Dec 22,New York,L23-20 OT,Stafford  222,Bell  91,Bell  63
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,New York,W26-17,Box Score
3,Thu, Aug 22,New England,W40-9,Box Score
