#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
4,Thu, Sep 2,Seattle,W27-24,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 25,New York,W34-24,Campbell  156,McFadden  171,Boss  36
4,Sun, Oct 2,New England,L31-19,Campbell  344,McFadden  75,Heyward-Bey  115
6,Sun, Oct 16,Cleveland,W24-17,Boller  100,McFadden  91,Heyward-Bey  82
7,Sun, Oct 23,Kansas City,L28-0,Palmer  116,Bush  99,Heyward-Bey  89
#8,BYE WEEK
9,Sun, Nov 6,Denver,L38-24,Palmer  332,Bush  96,Ford  105
12,Sun, Nov 27,Chicago,W25-20,Palmer  301,Bush  69,Reece  92
15,Sun, Dec 18,Detroit,L28-27,Palmer  367,Bush  77,Heyward-Bey  155
17,Sun, Jan 1,San Diego,L38-26,Palmer  417,Bush  66,Heyward-Bey  130
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 11,Arizona,L24-18,Box Score
3,Sun, Aug 28,New Orleans,L40-20,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 10,San Diego,L22-14,Palmer  297,McFadden  32,McFadden  86
3,Sun, Sep 23,Pittsburgh,W34-31,Palmer  209,McFadden  113,Myers  55
#5,BYE WEEK
7,Sun, Oct 21,Jacksonville,W26-23 OT,Palmer  298,McFadden  53,Heyward-Bey  85
9,Sun, Nov 4,Tampa Bay,L42-32,Palmer  414,McFadden  17,Reece  95
11,Sun, Nov 18,New Orleans,L38-17,Palmer  312,Reece  103,Reece  90
13,Sun, Dec 2,Cleveland,L20-17,Palmer  351,Stewart  46,Myers  130
14,Thu, Dec 6,Denver,L26-13,Palmer  273,McFadden  52,Streater  100
15,Sun, Dec 16,Kansas City,W15-0,Palmer  182,McFadden  110,Streater  62
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 13,Dallas,L3-0,Box Score
3,Sat, Aug 25,Detroit,W31-20,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Jacksonville,W19-9,Pryor  126,McFadden  129,Streater  42
4,Sun, Sep 29,Washington,L24-14,Flynn  227,Jennings  45,Jennings  71
5,Sun, Oct 6,San Diego,W27-17,Pryor  221,Jennings  41,Moore  84
#7,BYE WEEK
8,Sun, Oct 27,Pittsburgh,W21-18,Pryor  88,Pryor  106,Streater  45
9,Sun, Nov 3,Philadelphia,L49-20,Pryor  288,Jennings  102,Streater  98
12,Sun, Nov 24,Tennessee,L23-19,McGloin  260,Jennings  73,Streater  93
15,Sun, Dec 15,Kansas City,L56-31,McGloin  297,Jennings  91,Streater  59
17,Sun, Dec 29,Denver,L34-14,Pryor  207,Pryor  49,Moore  63
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Dallas,W19-17,Box Score
3,Fri, Aug 23,Chicago,L34-26,Box Score
