#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,Cincinnati,L20-7,Clausen  188,Williams  64,Goodson  47
5,Sun, Oct 10,Chicago,L23-6,Clausen  61,Williams  51,Gettis  32
#6,BYE WEEK
7,Sun, Oct 24,San Francisco,W23-20,Moore  308,Williams  44,Gettis  125
9,Sun, Nov 7,New Orleans,L34-3,Clausen Pike  47,Sutton  41,Gettis  22
11,Sun, Nov 21,Baltimore,L37-13,St. Pierre  173,Goodson  120,Gettis  92
14,Sun, Dec 12,Atlanta,L31-10,Clausen  107,Stewart  133,LaFell  38
15,Sun, Dec 19,Arizona,W19-12,Clausen  141,Stewart  137,LaFell  33
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,New York,L9-3,Box Score
3,Sat, Aug 28,Tennessee,W15-7,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Green Bay,L30-23,Newton  432,Newton  53,Smith  156
3,Sun, Sep 25,Jacksonville,W16-10,Newton  158,Stewart  59,Olsen  57
5,Sun, Oct 9,New Orleans,L30-27,Newton  224,Williams  115,Smith  79
7,Sun, Oct 23,Washington,W33-20,Newton  256,Stewart  68,Smith  143
8,Sun, Oct 30,Minnesota,L24-21,Newton  290,Newton  53,Smith  100
#9,BYE WEEK
10,Sun, Nov 13,Tennessee,L30-3,Newton  212,Newton  55,Naanee  75
14,Sun, Dec 11,Atlanta,L31-23,Newton  276,Williams  87,Smith  125
16,Sat, Dec 24,Tampa Bay,W48-16,Newton  171,Stewart  88,LaFell  103
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 13,New York,W20-10,Box Score
4,Thu, Sep 1,Pittsburgh,L33-17,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,New Orleans,W35-27,Newton  253,Newton  71,Smith  104
3,Thu, Sep 20,New York,L36-7,Newton  242,Williams  50,Olsen  98
5,Sun, Oct 7,Seattle,L16-12,Newton  141,Newton  42,LaFell  44
#6,BYE WEEK
7,Sun, Oct 21,Dallas,L19-14,Newton  233,Newton  64,Smith  83
10,Sun, Nov 11,Denver,L36-14,Newton  241,Stewart  31,Olsen  102
11,Sun, Nov 18,Tampa Bay,L27-21 OT,Newton  252,Stewart  43,LaFell  93
14,Sun, Dec 9,Atlanta,W30-20,Newton  287,Newton  116,Smith  109
16,Sun, Dec 23,Oakland,W17-6,Newton  170,Newton  60,Olsen  53
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 11,Houston,L26-13,Box Score
2,Fri, Aug 17,Miami,W23-17,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 12,San Francisco,L23-10,Newton  267,Newton  54,Ginn  104
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Seattle,L12-7,Newton  125,Williams  86,Olsen  56
3,Sun, Sep 22,New York,W38-0,Newton  223,Williams  120,Ginn  71
#4,BYE WEEK
7,Sun, Oct 20,St. Louis,W30-15,Newton  204,Williams  40,Smith  69
9,Sun, Nov 3,Atlanta,W34-10,Newton  249,Stewart  43,LaFell  74
11,Mon, Nov 18,New England,W24-20,Newton  209,Newton  62,Smith  62
13,Sun, Dec 1,Tampa Bay,W27-6,Newton  263,Newton  68,Olsen  85
15,Sun, Dec 15,New York,W30-20,Newton  273,Williams  81,Olsen  88
16,Sun, Dec 22,New Orleans,W17-13,Newton  181,Williams  67,Ginn  66
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Chicago,W24-17,Box Score
4,Thu, Aug 29,Pittsburgh,W25-10,Box Score
