# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
WASTE005,CIN,2001,3,1,N/A,2,2.0,2,0,0,0,N/A,N/A,0,0,0
TAMTE004,CLE,2001,3,3,N/A,10,3.3,5,0,0,0,N/A,N/A,0,0,0
GNBTE009,CAR,2001,3,4,N/A,33,8.3,16,1,0,0,N/A,N/A,0,0,0
SEATE011,SEA,2001,4,2,N/A,42,21.0,41,1,0,0,N/A,N/A,0,0,0
CINTE008,ATL,2001,4,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
MINTE007,MIN,2001,4,4,N/A,48,12.0,16,0,2,5,2.5,3,0,0,0
DETTE009,NYG,2001,4,1,N/A,1,1.0,1,1,0,0,N/A,N/A,0,0,0
OAKTE001,OAK,2001,4,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
ARITE003,ARI,2001,4,3,N/A,22,7.3,11,0,0,0,N/A,N/A,0,1,0
DENTE009,DEN,2001,4,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
DENTE006,WAS,2001,4,5,N/A,45,9.0,21,0,0,0,N/A,N/A,0,0,0
STLTE012,OAK,2001,4,2,N/A,14,7.0,9,0,0,0,N/A,N/A,0,0,0
NWETE005,MIA,2001,4,1,N/A,14,14.0,14,1,0,0,N/A,N/A,0,0,0
DALTE001,DAL,2001,4,1,N/A,4,4.0,4,0,0,0,N/A,N/A,0,0,0
NWETE009,ATL,2001,4,2,N/A,46,23.0,30,0,0,0,N/A,N/A,0,1,1
TENTE005,TEN,2001,4,1,N/A,4,4.0,4,0,0,0,N/A,N/A,0,0,0
BUFTE016,GNB,2001,4,2,N/A,33,16.5,24,0,0,0,N/A,N/A,0,0,0
DALTE007,DAL,2001,4,1,N/A,4,4.0,4,0,0,0,N/A,N/A,0,0,0
CLETE013,CLE,2001,4,1,N/A,10,10.0,10,0,0,0,N/A,N/A,0,0,0
TENTE011,TEN,2001,4,7,N/A,75,10.7,14,0,0,0,N/A,N/A,0,0,0
SFOTE008,SFO,2001,4,1,N/A,12,12.0,12,0,0,0,N/A,N/A,0,0,0
NYJTE007,GNB,2001,4,1,N/A,8,8.0,8,0,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,4,3,N/A,21,7.0,17,1,0,0,N/A,N/A,0,0,0
CARTE003,CAR,2001,4,1,N/A,13,13.0,13,0,0,0,N/A,N/A,0,0,0
PHITE007,PHI,2001,4,4,N/A,38,9.5,14,0,0,0,N/A,N/A,0,1,0
TENTE009,TEN,2001,4,2,N/A,36,18.0,27,0,0,0,N/A,N/A,0,0,0
NWETE002,JAC,2001,4,1,N/A,8,8.0,8,0,0,0,N/A,N/A,0,0,0
HOUTE002,PIT,2001,4,1,N/A,15,15.0,15,0,0,0,N/A,N/A,0,0,0
CARTE006,SEA,2001,4,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
DALTE009,STL,2001,4,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
