# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
NYJCB0154,NWE,2001,3,2,2,4,0.0,0,0,0,0,0,1
CARCB0214,PHI,2001,3,1,0,1,0.0,0,0,0,0,0,0
TENCB0511,IND,2001,3,0,1,1,0.0,0,0,0,0,0,1
BALCB0088,BAL,2001,3,1,0,1,0.0,0,0,0,0,0,0
SDGCB0106,SDG,2001,3,2,0,2,0.0,0,0,0,0,0,0
MINCB0147,MIN,2001,3,2,2,4,0.0,0,1,2,0,0,1
SDGCB0158,SDG,2001,3,6,0,6,0.0,0,0,0,0,0,1
BUFCB0316,JAC,2001,3,6,0,6,1.0,9,0,0,0,0,0
DALCB0056,DAL,2001,3,1,0,1,0.0,0,0,0,0,0,0
NYJCB0453,ARI,2001,3,6,2,8,0.0,0,0,0,0,0,0
TAMCB0138,DAL,2001,3,2,0,2,0.0,0,0,0,0,0,0
HOUCB0096,ATL,2001,3,3,1,4,0.0,0,1,0,0,0,1
WASCB0504,WAS,2001,3,5,0,5,0.0,0,0,0,0,0,0
SEACB0487,SEA,2001,3,7,0,7,0.0,0,0,0,0,0,0
PITSS0720,NYG,2001,3,5,0,5,0.0,0,0,0,0,0,0
KANCB0223,KAN,2001,3,1,1,2,0.0,0,0,0,0,0,1
DETCB0509,TAM,2001,3,3,1,4,0.0,0,0,0,0,0,0
NORCB0425,NYJ,2001,3,2,0,2,0.0,0,0,0,0,0,0
CINCB0089,IND,2001,3,3,1,4,0.0,0,0,0,0,0,0
CINCB0031,CIN,2001,3,2,0,2,0.0,0,0,0,0,0,0
KANCB0225,PIT,2001,3,1,1,2,0.0,0,0,0,0,0,0
SEACB0230,PHI,2001,3,0,0,0,0.0,0,0,0,0,0,4
BALCB0198,CLE,2001,3,7,1,8,0.0,0,0,0,0,0,1
CARCB0056,CAR,2001,3,1,0,1,0.0,0,0,0,0,0,1
DENCB0549,NWE,2001,3,2,1,3,0.0,0,1,23,1,0,1
GNBCB0112,ATL,2001,3,0,1,1,0.0,0,0,0,0,0,0
DENCB0198,SDG,2001,3,3,2,5,0.0,0,2,8,0,0,2
DETCB0138,DEN,2001,3,1,0,1,0.0,0,0,0,0,0,0
DETCB0194,NWE,2001,3,3,1,4,0.0,0,1,78,1,0,1
OAKCB0036,OAK,2001,3,1,0,1,0.0,0,0,0,0,0,0
NORCB0206,ATL,2001,3,2,0,2,0.0,0,0,0,0,0,0
NYJCB0208,NWE,2001,3,5,1,6,0.0,0,0,0,0,0,0
DETCB0190,CAR,2001,3,3,0,3,0.0,0,1,3,0,0,3
INDCB0079,IND,2001,3,1,1,2,0.0,0,0,0,0,0,1
PITCB0316,SEA,2001,3,2,3,5,0.0,0,0,0,0,0,0
MINCB0284,BUF,2001,3,2,0,2,0.0,0,0,0,0,0,0
BUFCB0047,BUF,2001,3,1,0,1,0.0,0,0,0,0,0,0
GNBCB0059,MIN,2001,3,2,0,2,0.0,0,0,0,0,0,0
SFOCB0066,SFO,2001,3,1,0,1,0.0,0,0,0,0,0,0
OAKCB0241,DEN,2001,3,2,0,2,0.0,0,0,0,0,0,0
ARICB0233,MIN,2001,3,2,2,4,0.0,0,0,0,0,0,0
KANCB0039,KAN,2001,3,2,0,2,0.0,0,0,0,0,0,0
KANCB0408,MIA,2001,3,2,0,2,1.0,10,0,0,0,1,0
OAKCB0299,BAL,2001,3,2,0,2,0.0,0,1,0,0,0,1
CLECB0469,MIA,2001,3,5,0,5,0.0,0,0,0,0,0,1
HOUCB0271,STL,2001,3,3,1,4,0.0,0,0,0,0,0,0
NWECB0326,PIT,2001,3,2,0,2,0.0,0,1,62,0,0,1
NWECB0327,NYJ,2001,3,2,0,2,0.0,0,0,0,0,0,0
ATLCB0166,JAC,2001,3,3,0,3,0.0,0,0,0,0,0,0
DALCB0218,GNB,2001,3,2,0,2,0.0,0,1,28,0,0,1
ARICB0102,NYG,2001,3,4,0,4,0.0,0,0,0,0,0,0
CINCB0258,OAK,2001,3,4,0,4,0.0,0,0,0,0,0,0
NYGCB0465,MIA,2001,3,0,0,0,0.0,0,0,0,0,0,1
NYJCB0209,TAM,2001,3,3,0,3,0.0,0,0,0,0,0,2
NORCB0373,NOR,2001,3,4,0,4,0.0,0,0,0,0,0,0
KANCB0081,KAN,2001,3,1,0,1,0.0,0,0,0,0,0,0
STLCB0188,GNB,2001,4,2,0,2,0.0,0,0,0,0,0,0
CINCB0029,CIN,2001,4,5,1,6,0.0,0,0,0,0,1,2
DALCB0109,DAL,2001,4,2,1,3,0.0,0,0,0,0,0,0
ARICB0104,ARI,2001,4,1,0,1,0.0,0,0,0,0,0,0
NWECB0456,DEN,2001,4,3,0,3,0.0,0,4,69,0,0,6
CARCB0054,CAR,2001,4,3,1,4,0.0,0,0,0,0,0,0
DETCB0191,STL,2001,4,2,0,2,0.0,0,0,0,0,0,0
NYGCB0154,SEA,2001,4,2,0,2,0.0,0,0,0,0,0,0
NWECB0457,SFO,2001,4,6,0,6,0.0,0,1,31,0,0,2
SFOCB0287,SFO,2001,4,3,3,6,0.0,0,1,0,0,0,3
STLCB0420,JAC,2001,4,4,0,4,0.0,0,0,0,0,0,0
CHICB0281,CHI,2001,4,2,0,2,0.0,0,0,0,0,0,0
SFOCB0500,STL,2001,4,5,1,6,0.0,0,1,93,1,1,1
MINCB0705,BUF,2001,4,5,0,5,0.0,0,0,0,0,0,0
NORCB0469,BAL,2001,4,1,1,2,0.0,0,0,0,0,0,0
DENCB0791,WAS,2001,4,3,1,4,0.0,0,0,0,0,1,0
CLECB0312,CLE,2001,4,4,0,4,0.0,0,0,0,0,0,0
BUFCB0096,BUF,2001,4,1,0,1,0.0,0,0,0,0,0,1
CLECB0421,MIN,2001,4,8,1,9,0.0,0,0,0,0,0,0
TENCB0120,TEN,2001,4,3,0,3,0.0,0,0,0,0,0,0
NORCB0468,GNB,2001,4,4,1,5,0.0,0,0,0,0,0,0
NYJCB0453,ARI,2001,4,5,1,6,0.0,0,0,0,0,0,0
DALCB0056,DAL,2001,4,2,1,3,0.0,0,0,0,0,0,0
