# Receiving,Kickoff Returns,Punt Returns,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,KR,Yds,Avg,Long,TD,PR,Yds,Avg,Long,TD,Fum,FumL
KANWR026,SEA,2001,1,2,N/A,18,9.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR008,BAL,2001,1,1,N/A,6,6.0,6,0,3,70,23.3,24,0,2,32,16.0,31,0,1,1
CINWR007,SFO,2001,1,7,N/A,93,13.3,40,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR020,TEN,2001,1,2,N/A,62,31.0,33,1,2,41,20.5,24,0,4,26,6.5,8,0,0,0
PITWR006,PIT,2001,1,1,N/A,8,8.0,8,0,2,36,18.0,20,0,0,0,N/A,N/A,0,0,0
ARIWR010,TAM,2001,1,1,N/A,9,9.0,9,0,1,13,13.0,13,0,2,0,0.0,1,0,0,0
MIAWR018,MIA,2001,1,4,N/A,74,18.5,31,1,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR013,CAR,2001,1,4,N/A,69,17.3,43,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
KANWR010,DEN,2001,1,1,N/A,36,36.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR016,OAK,2001,1,1,N/A,8,8.0,8,0,4,130,32.5,40,0,1,8,8.0,8,0,0,0
WASWR016,DAL,2001,1,6,N/A,18,3.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR014,SFO,2001,1,5,N/A,93,18.6,47,1,0,0,0,0,0,0,0,0,0,0,0,0
TENWR008,BUF,2001,1,1,N/A,34,34.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR015,TEN,2001,1,3,N/A,47,15.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR008,WAS,2001,1,4,N/A,28,7.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR025,NYJ,2001,1,1,N/A,20,20.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR010,GNB,2001,1,2,N/A,12,6.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR009,TAM,2001,1,7,N/A,71,10.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR011,DEN,2001,1,9,N/A,115,12.8,26,1,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR005,DEN,2001,1,0,0,0,0,0,0,1,29,29.0,29,0,0,0,N/A,N/A,0,0,0
CLEWR005,CLE,2001,1,0,0,0,0,0,0,1,21,21.0,21,0,0,0,N/A,N/A,0,0,0
ARIWR011,DAL,2001,1,0,0,0,0,0,0,3,131,43.7,77,0,0,0,N/A,N/A,0,0,0
CHIWR007,SFO,2001,1,0,0,0,0,0,0,2,45,22.5,24,0,0,0,N/A,N/A,0,0,0
HOUWR003,BUF,2001,1,0,0,0,0,0,0,0,0,N/A,N/A,0,1,34,34.0,34,0,0,0
MINWR002,MIN,2001,1,0,0,0,0,0,0,5,93,18.6,21,0,5,37,7.4,16,0,0,0
NORWR003,DAL,2001,1,0,0,0,0,0,0,0,0,N/A,N/A,0,3,18,6.0,11,0,0,0
STLWR016,KAN,2001,1,0,0,0,0,0,0,1,21,21.0,21,0,0,0,N/A,N/A,0,0,0
NYJWR022,TEN,2001,1,0,0,0,0,0,0,1,18,18.0,18,0,0,0,N/A,N/A,0,0,0
NYGWR010,BAL,2001,2,2,N/A,19,9.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR005,CHI,2001,2,9,N/A,95,10.6,22,1,0,0,0,0,0,0,0,0,0,0,0,0
DALWR007,BUF,2001,2,2,N/A,56,28.0,40,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR016,CLE,2001,2,4,N/A,26,6.5,9,1,0,0,N/A,N/A,0,2,15,7.5,11,0,0,0
KANWR014,KAN,2001,2,2,N/A,12,6.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR003,DAL,2001,2,5,N/A,40,8.0,11,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
GNBWR003,GNB,2001,2,1,N/A,24,24.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR006,ARI,2001,2,1,N/A,30,30.0,30,0,7,173,24.7,39,0,0,0,N/A,N/A,0,1,1
DETWR020,SFO,2001,2,1,N/A,5,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR002,PHI,2001,2,1,N/A,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR005,ARI,2001,2,8,N/A,145,18.1,47,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR029,STL,2001,2,3,N/A,17,5.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR015,DET,2001,2,4,N/A,34,8.5,11,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
WASWR001,BAL,2001,2,4,N/A,32,8.0,13,1,2,39,19.5,23,0,0,0,N/A,N/A,0,1,1
ATLWR017,IND,2001,2,9,N/A,168,18.7,60,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR020,TEN,2001,2,4,N/A,38,9.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR022,NYG,2001,2,7,N/A,90,12.9,32,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR010,MIN,2001,2,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR006,CAR,2001,2,3,N/A,41,13.7,20,0,2,46,23.0,24,0,0,0,N/A,N/A,0,0,0
DETWR011,GNB,2001,2,3,N/A,36,12.0,22,0,0,0,0,0,0,0,0,0,0,0,1,0
OAKWR019,SDG,2001,2,2,N/A,88,44.0,78,0,0,0,N/A,N/A,0,1,-2,-2.0,-2,0,0,0
NWEWR006,CAR,2001,2,6,N/A,71,11.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR011,BUF,2001,2,4,N/A,48,12.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR004,CIN,2001,2,3,N/A,17,5.7,7,0,0,0,N/A,N/A,0,2,0,0.0,0,0,1,1
DENWR023,CLE,2001,2,2,N/A,38,19.0,34,1,0,0,0,0,0,0,0,0,0,0,0,0
KANWR023,WAS,2001,2,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR013,SEA,2001,2,1,N/A,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR004,CHI,2001,2,1,N/A,10,10.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR015,MIA,2001,2,2,N/A,36,18.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR012,KAN,2001,2,2,N/A,48,24.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR013,NYJ,2001,2,1,N/A,16,16.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR011,DAL,2001,2,2,N/A,30,15.0,18,0,5,127,25.4,32,0,0,0,N/A,N/A,0,0,0
CHIWR008,TEN,2001,2,2,N/A,28,14.0,19,0,1,32,32.0,32,0,0,0,N/A,N/A,0,0,0
NYJWR022,TEN,2001,2,1,N/A,18,18.0,18,0,2,31,15.5,21,0,2,29,14.5,18,0,0,0
