# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
PHIDE0180,PHI,2001,3,2,0,2,1.0,10,0,0,0,1,0
HOUDE0199,JAC,2001,3,2,0,2,0.0,0,0,0,0,0,0
INDDE0128,IND,2001,3,2,2,4,0.0,0,0,0,0,0,0
JACDE0229,PIT,2001,3,3,2,5,1.0,4,0,0,0,0,0
PHIDE0053,SEA,2001,3,0,1,1,0.0,0,0,0,0,0,0
NWEDE0132,NWE,2001,3,2,1,3,1.0,6,0,0,0,0,0
MIADE0159,BAL,2001,3,2,1,3,0.0,0,0,0,0,0,1
TAMDE0159,STL,2001,3,2,1,3,0.0,0,0,0,0,0,0
BALDE0034,BAL,2001,3,5,0,5,2.0,9,0,0,0,0,0
BUFDE0046,BUF,2001,3,3,2,5,0.5,3,0,0,0,0,0
NYGDE0320,NYG,2001,3,7,0,7,3.0,26,0,0,0,2,0
DENDE0147,SDG,2001,3,1,0,1,1.0,4,0,0,0,0,0
KANDE0065,KAN,2001,3,2,0,2,0.0,0,0,0,0,0,0
SFODE0295,ATL,2001,3,5,0,5,1.0,10,0,0,0,0,0
CINDE0041,CIN,2001,3,5,0,5,0.0,0,0,0,0,0,0
JACDE0331,SDG,2001,3,1,0,1,1.0,5,0,0,0,1,0
DENDE0259,WAS,2001,3,5,1,6,0.0,0,0,0,0,0,0
NYGDE0114,NYG,2001,3,5,2,7,0.0,0,0,0,0,0,1
WASDE0466,JAC,2001,3,3,0,3,0.0,0,0,0,0,0,0
SEADE0217,STL,2001,3,5,0,5,1.0,6,0,0,0,0,1
HOUDE0348,PHI,2001,3,0,0,0,0.0,0,0,0,0,0,0
MIADE0587,MIA,2001,3,7,1,8,0.0,0,0,0,0,0,0
CLEDE0367,NWE,2001,3,2,2,4,1.0,1,0,0,0,0,0
PITDE0312,CLE,2001,3,0,0,0,0.0,0,1,0,0,0,1
WASDE0171,OAK,2001,3,2,0,2,1.0,6,0,0,0,0,0
TAMDE0037,TAM,2001,3,2,1,3,0.0,0,0,0,0,0,0
CINDE0147,KAN,2001,3,2,0,2,1.0,9,0,0,0,0,0
INDDE0250,TAM,2001,3,3,1,4,1.0,10,0,0,0,0,0
DENDE0070,DEN,2001,3,2,3,5,0.0,0,0,0,0,0,0
BUFDE0154,CLE,2001,3,0,0,0,0.0,0,0,0,0,0,1
OAKDE0221,MIN,2001,3,1,0,1,0.0,0,0,0,0,0,0
ATLDE0206,ATL,2001,3,2,0,2,1.0,2,0,0,0,0,0
WASDE0173,WAS,2001,3,1,3,4,0.5,1,0,0,0,0,0
SEADE0106,SEA,2001,4,2,2,4,0.0,0,0,0,0,0,1
TENDE0482,TEN,2001,4,1,0,1,0.0,0,0,0,0,0,0
CARDE0100,OAK,2001,4,0,1,1,0.0,0,0,0,0,0,0
DALDE0011,DAL,2001,4,1,0,1,0.0,0,0,0,0,0,0
SEADE0326,ATL,2001,4,3,0,3,0.0,0,0,0,0,0,0
ARIDE0028,ARI,2001,4,3,1,4,1.0,11,0,0,0,0,0
NORDE0237,OAK,2001,4,5,1,6,1.0,7,0,0,0,1,0
CARDE0330,CAR,2001,4,1,2,3,0.0,0,0,0,0,0,0
MINDE0152,GNB,2001,4,2,0,2,0.0,0,0,0,0,0,0
NYJDE0190,KAN,2001,4,5,0,5,0.0,0,0,0,0,0,0
ARIDE0365,GNB,2001,4,2,0,2,0.0,0,0,0,0,0,2
CARDE0023,CAR,2001,4,1,1,2,0.0,0,0,0,0,0,1
SEADE0217,STL,2001,4,1,0,1,0.0,0,0,0,0,0,0
MINDE0209,MIA,2001,4,0,1,1,0.0,0,0,0,0,0,0
SFODE0203,PHI,2001,4,0,1,1,0.0,0,0,0,0,0,0
TAMDE0305,CLE,2001,4,1,0,1,0.0,0,0,0,0,0,0
STLDE0421,STL,2001,4,5,0,5,3.0,16,0,0,0,1,0
NYGDE0161,ATL,2001,4,1,0,1,0.0,0,0,0,0,0,0
PITDE0385,PIT,2001,4,3,3,6,1.0,6,0,0,0,0,0
ARIDE0095,DAL,2001,4,2,0,2,0.0,0,0,0,0,0,0
BUFDE0474,BUF,2001,4,3,1,4,0.0,0,0,0,0,0,0
NWEDE0631,SFO,2001,4,0,0,0,0.0,0,0,0,0,0,2
OAKDE0526,NWE,2001,4,4,3,7,0.0,0,0,0,0,0,0
MINDE0042,MIN,2001,4,1,1,2,0.0,0,0,0,0,0,0
ARIDE0202,PIT,2001,4,0,0,0,0.0,0,0,0,0,0,1
HOUDE0208,WAS,2001,4,1,0,1,0.0,0,0,0,0,0,0
SFODE0419,DAL,2001,4,1,0,1,0.0,0,0,0,0,0,0
ARIDE0188,OAK,2001,4,1,0,1,0.0,0,0,0,0,0,0
GNBDE0342,GNB,2001,4,3,1,4,3.0,19,0,0,0,1,0
DENDE0336,SFO,2001,4,3,0,3,0.0,0,0,0,0,0,2
TENDE0368,BUF,2001,4,2,2,4,0.0,0,0,0,0,0,0
MINDE0133,MIN,2001,4,3,3,6,0.0,0,0,0,0,0,0
SDGDE0187,SDG,2001,4,2,0,2,0.0,0,0,0,0,0,0
JACDE0419,JAC,2001,4,5,1,6,0.0,0,0,0,0,0,0
CLEDE0231,CLE,2001,4,1,0,1,0.0,0,0,0,0,0,1
PHIDE0383,NOR,2001,4,4,0,4,2.0,10,0,0,0,1,0
STLDE0152,BUF,2001,4,3,1,4,0.0,0,0,0,0,0,0
NWEDE0536,NYJ,2001,4,0,1,1,0.0,0,0,0,0,0,0
HOUDE0348,PHI,2001,4,1,0,1,0.0,0,0,0,0,0,0
MIADE0587,MIA,2001,4,2,1,3,1.0,3,0,0,0,0,0
