# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
GNBRB009,SEA,2001,5,2,8,4.0,5,0,0,N/A,0,N/A,N/A,0,0,0
CHIRB011,NWE,2001,5,4,5,1.3,4,0,1,N/A,15,15.0,15,0,0,0
NWERB001,CIN,2001,5,31,140,4.5,25,1,3,N/A,16,5.3,8,0,0,0
MINRB012,BAL,2001,5,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
DALRB006,TEN,2001,5,29,85,2.9,27,1,3,N/A,47,15.7,25,0,0,0
ATLRB009,ATL,2001,5,0,0,N/A,N/A,0,1,N/A,15,15.0,15,0,0,0
NYJRB016,NYJ,2001,5,22,120,5.5,27,1,2,N/A,16,8.0,9,0,0,0
GNBRB001,GNB,2001,5,0,0,N/A,N/A,0,1,N/A,1,1.0,1,0,0,0
ATLRB002,SDG,2001,5,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
DETRB001,DET,2001,5,1,3,3.0,3,0,4,N/A,22,5.5,9,0,0,0
CARRB011,CAR,2001,5,13,30,2.3,15,0,3,N/A,58,19.3,47,0,1,0
TAMRB010,TAM,2001,5,5,4,0.8,4,0,1,N/A,-3,-3.0,-3,0,0,0
ARIRB008,DAL,2001,5,25,107,4.3,24,0,5,N/A,45,9.0,22,0,0,0
PITRB006,PIT,2001,6,17,143,8.4,46,1,1,N/A,8,8.0,8,0,0,0
KANRB011,ARI,2001,6,7,26,3.7,13,1,0,N/A,0,N/A,N/A,0,0,0
NYJRB011,STL,2001,6,0,0,N/A,N/A,0,1,N/A,7,7.0,7,0,0,0
HOURB001,JAC,2001,6,15,84,5.6,29,0,0,N/A,0,N/A,N/A,0,0,0
HOURB023,NYG,2001,6,16,32,2.0,5,0,2,N/A,15,7.5,8,0,0,0
DETRB028,DEN,2001,6,5,21,4.2,7,0,2,N/A,15,7.5,11,0,0,0
MINRB018,MIN,2001,6,0,0,N/A,N/A,0,0,N/A,0,N/A,N/A,0,1,0
WASRB010,STL,2001,6,23,195,8.5,44,2,3,N/A,37,12.3,29,0,0,0
OAKRB003,NWE,2001,6,1,0,0.0,0,0,0,N/A,0,N/A,N/A,0,0,0
NWERB012,PIT,2001,6,8,12,1.5,11,0,1,N/A,4,4.0,4,0,1,1
ARIRB006,BAL,2001,6,9,48,5.3,15,0,5,N/A,20,4.0,7,0,0,0
TAMRB007,NYG,2001,6,0,0,N/A,N/A,0,2,N/A,1,0.5,1,0,0,0
WASRB008,CLE,2001,6,0,0,N/A,N/A,0,1,N/A,12,12.0,12,0,0,0
SEARB004,IND,2001,6,30,143,4.8,20,0,4,N/A,34,8.5,12,0,1,1
BALRB018,NOR,2001,6,21,51,2.4,12,0,9,N/A,65,7.2,20,0,0,0
MINRB009,MIN,2001,6,22,90,4.1,19,0,2,N/A,5,2.5,3,0,1,0
NWERB010,NWE,2001,6,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB017,ARI,2001,6,0,0,N/A,N/A,0,1,N/A,25,25.0,25,0,1,1
BALRB010,DEN,2001,6,11,50,4.5,24,0,1,N/A,-7,-7.0,-7,0,1,1
ARIRB003,CLE,2001,6,24,77,3.2,22,1,2,N/A,13,6.5,9,0,0,0
DENRB001,BUF,2001,6,27,63,2.3,9,0,5,N/A,32,6.4,13,0,0,0
DENRB016,NYJ,2001,6,4,34,8.5,16,0,5,N/A,20,4.0,10,0,0,0
DENRB011,PHI,2001,6,11,34,3.1,9,0,0,N/A,0,N/A,N/A,0,0,0
BALRB013,BAL,2001,6,13,46,3.5,12,0,3,N/A,24,8.0,15,0,1,0
OAKRB001,IND,2001,6,2,35,17.5,24,0,0,N/A,0,N/A,N/A,0,0,0
JACRB010,JAC,2001,6,1,4,4.0,4,0,0,N/A,0,N/A,N/A,0,0,0
BUFRB006,CHI,2001,6,22,188,8.5,46,1,0,N/A,0,N/A,N/A,0,0,0
NORRB015,NOR,2001,6,0,0,N/A,N/A,0,1,N/A,16,16.0,16,0,0,0
CARRB012,CAR,2001,6,3,12,4.0,8,0,1,N/A,6,6.0,6,0,0,0
ATLRB008,ATL,2001,6,22,83,3.8,22,0,2,N/A,10,5.0,6,0,1,1
DENRB012,ARI,2001,6,26,95,3.7,24,1,4,N/A,42,10.5,27,0,0,0
BALRB017,CLE,2001,6,1,1,1.0,1,0,1,N/A,1,1.0,1,0,0,0
ARIRB021,PIT,2001,6,1,12,12.0,12,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB001,SDG,2001,6,25,58,2.3,20,0,1,N/A,11,11.0,11,0,0,0
CHIRB010,WAS,2001,6,0,0,N/A,N/A,0,2,N/A,47,23.5,32,0,0,0
NORRB014,CIN,2001,6,1,3,3.0,3,0,0,N/A,0,N/A,N/A,0,0,0
HOURB003,GNB,2001,6,11,73,6.6,61,0,5,N/A,36,7.2,15,0,0,0
NYJRB016,NYJ,2001,6,14,63,4.5,16,0,0,N/A,0,N/A,N/A,0,0,0
GNBRB001,GNB,2001,6,1,0,0.0,0,0,1,N/A,12,12.0,12,0,0,0
SDGRB008,SDG,2001,6,2,11,5.5,10,0,4,N/A,38,9.5,11,0,1,1
ATLRB009,ATL,2001,6,2,4,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
DETRB001,DET,2001,6,0,0,N/A,N/A,0,3,N/A,32,10.7,23,0,0,0
TAMRB010,TAM,2001,6,3,15,5.0,12,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB008,KAN,2001,6,1,4,4.0,4,0,1,N/A,20,20.0,20,0,0,0
DETRB026,DET,2001,6,9,17,1.9,7,0,1,N/A,10,10.0,10,0,0,0
NORRB020,WAS,2001,6,0,0,N/A,N/A,0,1,N/A,-3,-3.0,-3,0,0,0
ATLRB007,ATL,2001,6,3,28,9.3,21,0,1,N/A,-3,-3.0,-3,0,0,0
BUFRB011,BAL,2001,6,0,0,N/A,N/A,0,1,N/A,4,4.0,4,0,0,0
NWERB011,BUF,2001,6,3,13,4.3,8,0,7,N/A,59,8.4,14,0,0,0
DALRB015,NYJ,2001,6,2,13,6.5,10,0,4,N/A,34,8.5,20,0,0,0
BALRB003,CIN,2001,6,0,0,N/A,N/A,0,1,N/A,7,7.0,7,0,0,0
NYGRB006,GNB,2001,6,2,1,0.5,1,0,1,N/A,3,3.0,3,0,0,0
DETRB012,DET,2001,6,6,18,3.0,7,0,2,N/A,16,8.0,11,0,0,0
CARRB011,CAR,2001,6,20,121,6.1,27,1,4,N/A,29,7.3,14,0,0,0
DALRB006,TEN,2001,6,26,51,2.0,12,0,1,N/A,9,9.0,9,0,1,0
KANRB013,KAN,2001,6,15,85,5.7,41,0,3,N/A,24,8.0,9,0,0,0
PITRB009,PHI,2001,6,3,22,7.3,16,0,4,N/A,23,5.8,9,0,0,0
