STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
DETKK002,DET,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
ATLKK002,DEN,2004,3,0,0,2,2,0,0,1,1,0,0,3,3,100.0,43,2,2,100.0,11
INDKK003,BAL,2004,3,0,0,1,1,0,0,0,0,0,0,1,1,100.0,21,2,2,100.0,5
NYGKK004,NYG,2004,3,0,0,1,1,0,0,1,1,0,0,2,2,100.0,43,3,3,100.0,9
TENKK001,TEN,2004,3,0,0,1,1,0,0,1,1,0,0,2,2,100.0,40,0,0,N/A,6
NYGKK002,NOR,2004,3,0,0,0,0,3,3,0,0,2,3,5,6,83.3,53,1,1,100.0,16
ATLKK001,SFO,2004,3,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,0,0,N/A,0
STLKK001,STL,2004,3,0,0,0,0,0,0,0,0,1,1,1,1,100.0,53,2,2,100.0,5
SFOKK003,CLE,2004,3,0,0,0,0,0,0,1,1,0,0,1,1,100.0,49,1,1,100.0,4
BALKK002,BAL,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
WASKK005,WAS,2004,3,1,1,0,0,0,0,0,0,0,0,1,1,100.0,19,1,1,100.0,4
MINKK002,GNB,2004,3,0,0,0,0,1,1,0,0,0,1,1,2,50.0,38,4,4,100.0,7
CHIKK001,MIA,2004,3,0,0,0,0,1,1,0,0,0,0,1,1,100.0,34,0,0,N/A,3
ATLKK004,MIN,2004,3,0,0,1,1,0,0,1,2,0,0,2,3,66.7,42,3,3,100.0,9
