# Punting
# PID,TID,Season,Week,Punt,Yds,Avg,Long,In20,FC,TB,Blk
NYJPP0063,DAL,2003,1,6,261,43.5,51,1,0,0,0
CLEPP0101,ARI,2003,1,4,163,40.8,52,0,1,0,0
DENPP0059,DEN,2003,1,5,235,47.0,55,2,0,1,0
DETPP0191,CIN,2003,1,4,161,40.3,51,0,0,0,0
SFOPP0048,SFO,2003,1,3,132,44.0,52,2,1,0,0
MINPP0046,MIN,2003,1,2,74,37.0,37,0,0,0,0
TAMPP0139,PHI,2003,1,7,267,38.1,50,0,1,1,0
ARIPP0207,BAL,2003,1,6,226,37.7,55,2,3,0,0
BUFPP0208,BUF,2003,1,4,226,56.5,71,1,0,0,0
CARPP0176,KAN,2003,1,5,215,43.0,50,1,0,0,0
NWEPP0094,NWE,2003,1,5,208,41.6,50,0,0,0,0
CLEPP0175,CHI,2003,1,7,283,40.4,47,2,2,0,1
JACPP0048,MIA,2003,1,7,266,38.0,50,3,0,0,0
STLPP0080,WAS,2003,1,3,92,30.7,39,1,1,0,0
PHIPP0080,STL,2003,1,4,143,35.8,41,1,0,0,0
ATLPP0064,ATL,2003,1,5,213,42.6,48,2,3,0,0
WASPP0064,TAM,2003,1,6,270,45.0,59,3,1,0,0
NYJPP0048,NYJ,2003,1,6,187,31.2,40,2,3,0,0
PITPP0093,CLE,2003,1,3,127,42.3,49,2,0,1,0
SEAPP0080,SEA,2003,1,7,296,42.3,49,5,3,0,0
MINPP0076,SDG,2003,1,7,303,43.3,50,1,1,1,0
TENPP0098,PIT,2003,1,5,231,46.2,57,0,1,0,0
DENPP0109,CAR,2003,1,7,285,40.7,47,1,0,1,0
DENPP0142,NOR,2003,1,5,230,46.0,56,2,2,0,0
DETPP0036,DET,2003,1,6,222,37.0,41,1,0,1,0
TENPP0129,TEN,2003,1,5,209,41.8,49,1,1,1,0
NYGPP0143,NYG,2003,1,5,221,44.2,53,2,0,1,0
HOUPP0080,HOU,2003,2,8,314,39.3,51,1,2,0,0
NWEPP0144,JAC,2003,2,4,177,44.3,47,1,0,0,0
