STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_Pct,K_Lng,K_XPM,K_XPA,K_Pct,K_Pts
SFOKK0111,PIT,2004,3,0,0,0,0,0,0,1,3,1,1,2,4,50,51,1,1,100,7
NYGKK0161,SEA,2004,3,0,0,1,1,1,1,0,0,0,0,2,2,100,35,4,4,100,10
DETKK0160,PHI,2004,3,0,0,1,1,1,1,1,1,0,0,3,3,100,47,3,3,100,12
DALKK0045,IND,2004,3,0,0,0,0,0,0,1,1,0,0,1,1,100,45,6,6,100,9
DETKK0144,DET,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100,1
ATLKK0089,DEN,2004,3,0,0,2,2,0,0,1,1,0,0,3,3,100,43,2,2,100,11
INDKK0117,BAL,2004,3,0,0,1,1,0,0,0,0,0,0,1,1,100,21,2,2,100,5
NYGKK0016,NYG,2004,3,0,0,1,1,0,0,1,1,0,0,2,2,100,43,3,3,100,9
TENKK0016,TEN,2004,3,0,0,1,1,0,0,1,1,0,0,2,2,100,40,0,0,N/A,6
NORKK0106,NOR,2004,3,0,0,0,0,3,3,0,0,2,3,5,6,83.3,53,1,1,100,16
ATLKK0032,SFO,2004,3,0,0,0,0,0,0,0,1,0,0,0,1,0,N/A,0,0,N/A,0
STLKK0064,STL,2004,3,0,0,0,0,0,0,0,0,1,1,1,1,100,53,2,2,100,5
SFOKK0159,CLE,2004,3,0,0,0,0,0,0,1,1,0,0,1,1,100,49,1,1,100,4
BALKK0028,BAL,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
WASKK0036,WAS,2004,3,1,1,0,0,0,0,0,0,0,0,1,1,100,19,1,1,100,4
MINKK0143,GNB,2004,3,0,0,0,0,1,1,0,0,0,1,1,2,50,38,4,4,100,7
CHIKK0144,MIA,2004,3,0,0,0,0,1,1,0,0,0,0,1,1,100,34,0,0,N/A,3
ATLKK0062,MIN,2004,3,0,0,1,1,0,0,1,2,0,0,2,3,66.7,42,3,3,100,9
HOUKK0128,ARI,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100,33,4,4,100,10
MINKK0047,CHI,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100,25,0,0,N/A,3
OAKKK0160,OAK,2004,4,0,0,0,0,0,1,0,0,1,1,1,2,50,50,2,2,100,5
SDGKK0106,HOU,2004,4,0,0,1,1,0,0,2,2,0,1,3,4,75,46,3,3,100,12
DETKK0160,PHI,2004,4,0,0,0,0,0,1,3,4,1,1,4,6,66.7,51,1,1,100,13
NORKK0074,TAM,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100,30,1,1,100,7
TAMKK0159,BUF,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100,33,2,2,100,5
ARIKK0164,ATL,2004,4,0,0,0,0,1,1,1,1,0,0,2,2,100,47,3,3,100,9
JACKK0160,JAC,2004,4,0,0,1,1,0,1,2,2,0,0,3,4,75,48,0,0,N/A,9
NYGKK0145,KAN,2004,4,0,0,0,0,1,1,1,1,0,0,2,2,100,42,3,3,100,9
MIAKK0143,SDG,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100,31,5,5,100,8
SFOKK0111,PIT,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
NORKK0165,CIN,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100,34,2,2,100,5
