STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,rec_Tgt,rec_Yds,rec_YPR,rec_Lng,rec_TD,KR,KR_Yds,KR_Avg,KR_Long,KR_TD,PR,PR_Yds,PR_Avg,PR_Long,PR_TD,Fum,FumLOST
NORWR0065,DAL,2001,1,0,0,0,0,0,0,0,0,N/A,N/A,0,3,18,6,11,0,0,0
STLWR0524,KAN,2001,1,0,0,0,0,0,0,1,21,21,21,0,0,0,N/A,N/A,0,0,0
TENWR0457,TEN,2001,1,0,0,0,0,0,0,1,18,18,18,0,0,0,N/A,N/A,0,0,0
BALWR0652,BAL,2001,2,2,N/A,19,9.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0486,CHI,2001,2,9,N/A,95,10.6,22,1,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR0375,BUF,2001,2,2,N/A,56,28,40,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0278,CLE,2001,2,4,N/A,26,6.5,9,1,0,0,N/A,N/A,0,2,15,7.5,11,0,0,0
KANWR0038,KAN,2001,2,2,N/A,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0065,DAL,2001,2,5,N/A,40,8,11,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
GNBWR0746,GNB,2001,2,1,N/A,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR0092,ARI,2001,2,1,N/A,30,30,30,0,7,173,24.7,39,0,0,0,N/A,N/A,0,1,1
DETWR0252,SFO,2001,2,1,N/A,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR0047,PHI,2001,2,1,N/A,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0277,ARI,2001,2,8,N/A,145,18.1,47,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR0455,STL,2001,2,3,N/A,17,5.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0119,DET,2001,2,4,N/A,34,8.5,11,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
BALWR0213,BAL,2001,2,4,N/A,32,8,13,1,2,39,19.5,23,0,0,0,N/A,N/A,0,1,1
ATLWR0231,IND,2001,2,9,N/A,168,18.7,60,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0154,TEN,2001,2,4,N/A,38,9.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR0437,NYG,2001,2,7,N/A,90,12.9,32,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0129,MIN,2001,2,1,N/A,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0109,CAR,2001,2,3,N/A,41,13.7,20,0,2,46,23,24,0,0,0,N/A,N/A,0,0,0
DETWR0382,GNB,2001,2,3,N/A,36,12,22,0,0,0,0,0,0,0,0,0,0,0,1,0
OAKWR0377,SDG,2001,2,2,N/A,88,44,78,0,0,0,N/A,N/A,0,1,-2,-2,-2,0,0,0
NWEWR0098,CAR,2001,2,6,N/A,71,11.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR0031,BUF,2001,2,4,N/A,48,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR0272,CIN,2001,2,3,N/A,17,5.7,7,0,0,0,N/A,N/A,0,2,0,0,0,0,1,1
DENWR0343,CLE,2001,2,2,N/A,38,19,34,1,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0294,WAS,2001,2,1,N/A,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR0450,SEA,2001,2,1,N/A,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKSS0256,CHI,2001,2,1,N/A,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0557,MIA,2001,2,2,N/A,36,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0106,KAN,2001,2,2,N/A,48,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR0155,NYJ,2001,2,1,N/A,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR0308,DAL,2001,2,2,N/A,30,15,18,0,5,127,25.4,32,0,0,0,N/A,N/A,0,0,0
CHIWR0293,TEN,2001,2,2,N/A,28,14,19,0,1,32,32,32,0,0,0,N/A,N/A,0,0,0
TENWR0457,TEN,2001,2,1,N/A,18,18,18,0,2,31,15.5,21,0,2,29,14.5,18,0,0,0
ARIWR0127,DET,2001,2,3,N/A,25,8.3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR0022,TEN,2001,2,1,N/A,19,19,19,0,0,11,N/A,11,0,0,0,N/A,N/A,0,0,0
ATLWR0206,CHI,2001,2,1,N/A,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR0137,CIN,2001,2,2,N/A,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR0209,PHI,2001,2,1,N/A,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR0450,BAL,2001,2,4,N/A,44,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR0099,NYG,2001,2,0,N/A,0,N/A,N/A,0,1,23,23,23,0,0,0,N/A,N/A,0,0,0
CINWR0586,NYJ,2001,2,3,N/A,24,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0447,MIN,2001,2,0,N/A,0,N/A,N/A,0,3,78,26,37,0,5,37,7.4,13,0,1,0
DENWR0456,SEA,2001,2,2,N/A,9,4.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR0059,CLE,2001,2,1,N/A,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0699,MIN,2001,2,5,N/A,81,16.2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0345,STL,2001,2,1,N/A,25,25,25,1,0,0,N/A,N/A,0,3,47,15.7,32,0,0,0
DALWR0057,DAL,2001,2,2,N/A,83,41.5,80,1,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR0426,NWE,2001,2,5,N/A,82,16.4,58,0,0,0,N/A,N/A,0,4,44,11,22,0,0,0
JACWR0062,JAC,2001,2,1,N/A,16,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0
SFOWR0235,SDG,2001,2,4,N/A,68,17,36,1,0,0,0,0,0,0,0,0,0,0,0,0
DALWR0119,CIN,2001,2,5,N/A,82,16.4,41,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0471,NWE,2001,2,5,N/A,53,10.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0182,MIA,2001,2,3,N/A,48,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0504,STL,2001,2,8,N/A,144,18,39,1,0,0,0,0,0,0,0,0,0,0,1,1
TAMWR0188,GNB,2001,2,1,N/A,41,41,41,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0290,DET,2001,2,6,N/A,100,16.7,26,1,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0112,BAL,2001,2,4,N/A,62,15.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR0124,MIN,2001,2,1,N/A,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0340,STL,2001,2,2,N/A,24,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0049,ATL,2001,2,2,N/A,30,15,18,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR0226,OAK,2001,2,3,N/A,20,6.7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR0209,OAK,2001,2,1,N/A,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR0132,ATL,2001,2,2,N/A,34,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR0042,SDG,2001,2,6,N/A,94,15.7,34,0,0,0,0,0,0,0,0,0,0,0,0,0
BALCB0771,JAC,2001,2,7,N/A,87,12.4,28,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
WASWR0375,JAC,2001,2,4,N/A,49,12.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0132,MIN,2001,2,4,N/A,27,6.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR0113,WAS,2001,2,4,N/A,23,5.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDE0648,NWE,2001,2,2,N/A,18,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR0642,SFO,2001,2,5,N/A,51,10.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0384,DEN,2001,2,2,N/A,12,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR0442,NYG,2001,2,5,N/A,51,10.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0453,IND,2001,2,7,N/A,146,20.9,39,3,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0178,MIA,2001,2,5,N/A,70,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR0135,ARI,2001,2,4,N/A,28,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR0387,CHI,2001,2,7,N/A,99,14.1,24,1,0,0,0,0,0,0,0,0,0,0,0,0
WASWR0436,PHI,2001,2,10,N/A,165,16.5,64,2,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR0588,TEN,2001,2,1,N/A,4,4,4,0,1,14,14,14,0,0,0,N/A,N/A,0,0,0
DALWR0193,MIA,2001,2,2,N/A,29,14.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0460,SEA,2001,2,2,N/A,28,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR0153,WAS,2001,2,3,N/A,36,12,17,0,0,0,0,0,0,0,0,0,0,0,1,1
NYJWR0239,NYJ,2001,2,5,N/A,53,10.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR0534,DAL,2001,2,2,N/A,33,16.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR0154,SFO,2001,2,1,N/A,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0473,CAR,2001,2,10,N/A,132,13.2,38,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0036,KAN,2001,2,4,N/A,62,15.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR0016,TEN,2001,2,1,N/A,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR0410,BUF,2001,2,2,N/A,14,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR0341,DEN,2001,2,14,N/A,162,11.6,34,2,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR0027,SDG,2001,2,1,N/A,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR0185,GNB,2001,2,4,N/A,37,9.3,12,1,0,0,N/A,N/A,0,5,39,7.8,15,0,0,0
CHIWR0078,SFO,2001,2,0,0,0,0,0,0,5,122,24.4,33,0,1,19,19,19,0,0,0
CARWR0713,CAR,2001,2,0,0,0,0,0,0,2,41,20.5,22,0,0,0,N/A,N/A,0,0,0
PITWR0426,SFO,2001,2,0,0,0,0,0,0,1,34,34,34,0,0,0,N/A,N/A,0,0,0
ARIWR0122,ARI,2001,2,0,0,0,0,0,0,0,0,N/A,N/A,0,3,37,12.3,29,0,0,0
STLWR0524,KAN,2001,2,0,0,0,0,0,0,2,42,21,21,0,2,15,7.5,13,0,0,0
NWEWR0229,DEN,2001,2,0,0,0,0,0,0,2,53,26.5,29,0,0,0,N/A,N/A,0,0,0
OAKWR0038,OAK,2001,2,0,0,0,0,0,0,3,63,21,28,0,1,23,23,23,0,0,0
BALWR0069,MIA,2001,2,0,0,0,0,0,0,0,0,N/A,N/A,0,4,55,13.8,19,0,0,0
DETWR0097,DET,2001,2,0,0,0,0,0,0,5,128,25.6,37,0,3,8,2.7,5,0,0,0
ATLWR0065,JAC,2001,2,0,0,0,0,0,0,2,47,23.5,27,0,5,34,6.8,13,0,0,0
STLWR0095,STL,2001,2,0,0,0,0,0,0,1,23,23,23,0,0,0,N/A,N/A,0,0,0
INDWR0352,IND,2001,2,0,0,0,0,0,0,4,97,24.3,29,0,3,16,5.3,10,0,0,0
MIAWR0251,WAS,2001,2,0,0,0,0,0,0,2,17,8.5,17,0,0,0,N/A,N/A,0,0,0
BUFWR0375,BUF,2001,3,1,N/A,3,3,3,0,0,0,N/A,N/A,0,1,5,5,5,0,0,0
DETWR0278,CLE,2001,3,6,N/A,80,13.3,23,0,0,0,N/A,N/A,0,2,24,12,17,0,0,0
DETWR0291,PIT,2001,3,2,N/A,7,3.5,6,0,1,12,12,12,0,0,0,N/A,N/A,0,0,0
MIAWR0277,ARI,2001,3,4,N/A,49,12.3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR0652,BAL,2001,3,1,N/A,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0038,KAN,2001,3,1,N/A,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR0092,ARI,2001,3,2,N/A,26,13,18,0,4,78,19.5,24,0,0,0,N/A,N/A,0,0,0
DETWR0252,SFO,2001,3,2,N/A,15,7.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR0051,DAL,2001,3,1,N/A,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0065,DAL,2001,3,1,N/A,5,5,5,0,0,0,N/A,N/A,0,3,20,6.7,17,0,1,1
JACWR0455,STL,2001,3,4,N/A,111,27.8,45,1,0,0,0,0,0,0,0,0,0,0,0,0
