STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
OAKTE0023,OAK,2001,3,1,N/A,7,7,7,0,0,0,N/A,N/A,0,0,0
STLTE0090,OAK,2001,3,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
ARITE0012,ARI,2001,3,2,N/A,25,12.5,13,1,0,0,N/A,N/A,0,0,0
NWETE0097,MIA,2001,3,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
DALTE0037,DAL,2001,3,2,N/A,8,4,7,0,0,0,N/A,N/A,0,0,0
BALTE0046,BAL,2001,3,2,N/A,13,6.5,13,0,0,0,N/A,N/A,0,0,0
ARILB0435,SFO,2001,3,2,N/A,20,10,11,0,0,0,N/A,N/A,0,1,1
DALTE0020,DAL,2001,3,1,N/A,1,1,1,0,0,0,N/A,N/A,0,0,0
MINTE0163,NWE,2001,3,1,N/A,11,11,11,0,0,0,N/A,N/A,0,0,0
KANTE0271,NYJ,2001,3,3,N/A,24,8,9,0,0,0,N/A,N/A,0,0,0
SFOTE0040,SFO,2001,3,1,N/A,9,9,9,0,0,0,N/A,N/A,0,0,0
NYJTE0151,GNB,2001,3,3,N/A,34,11.3,16,1,0,0,N/A,N/A,0,0,0
DETTE0060,KAN,2001,3,3,N/A,40,13.3,26,0,0,0,N/A,N/A,0,0,0
STLTE0099,NOR,2001,3,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
NWETE0171,JAC,2001,3,1,N/A,14,14,14,0,0,0,N/A,N/A,0,0,0
CARTE0157,SEA,2001,3,4,N/A,34,8.5,12,1,0,0,N/A,N/A,0,0,0
SEATE0155,IND,2001,3,4,N/A,63,15.8,21,1,0,0,N/A,N/A,0,0,0
TAMTE0097,IND,2001,3,1,N/A,11,11,11,0,0,0,N/A,N/A,0,0,0
STLTE0092,STL,2001,3,2,N/A,14,7,10,0,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,3,5,N/A,50,10,17,0,0,0,N/A,N/A,0,0,0
DALTE0044,CIN,2001,3,2,N/A,17,8.5,9,0,0,0,N/A,N/A,0,0,0
WASTE0047,MIN,2001,3,4,N/A,88,22,37,0,0,0,N/A,N/A,0,0,0
NORTE0116,STL,2001,3,3,N/A,27,9,24,0,0,0,N/A,N/A,0,0,0
JACTE0008,JAC,2001,3,1,N/A,16,16,16,0,0,0,N/A,N/A,0,0,0
PHITE0119,PHI,2001,3,4,N/A,43,10.8,17,2,0,0,N/A,N/A,0,0,0
DENTE0086,DEN,2001,3,2,N/A,13,6.5,9,0,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,3,5,N/A,88,17.6,35,1,0,0,N/A,N/A,0,0,0
PITTE0054,BUF,2001,3,2,N/A,35,17.5,24,0,0,0,N/A,N/A,0,0,0
WASTE0020,CIN,2001,3,1,N/A,2,2,2,0,0,0,N/A,N/A,0,0,0
TAMTE0070,CLE,2001,3,3,N/A,10,3.3,5,0,0,0,N/A,N/A,0,0,0
GNBTE0082,CAR,2001,3,4,N/A,33,8.3,16,1,0,0,N/A,N/A,0,0,0
SEATE0126,SEA,2001,4,2,N/A,42,21,41,1,0,0,N/A,N/A,0,0,0
ATLTE0235,ATL,2001,4,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
MINTE0282,MIN,2001,4,4,N/A,48,12,16,0,2,5,2.5,3,0,0,0
DETTE0158,NYG,2001,4,1,N/A,1,1,1,1,0,0,N/A,N/A,0,0,0
OAKTE0023,OAK,2001,4,1,N/A,6,6,6,0,0,0,N/A,N/A,0,0,0
ARITE0012,ARI,2001,4,3,N/A,22,7.3,11,0,0,0,N/A,N/A,0,1,0
DENTE0086,DEN,2001,4,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
DENTE0133,WAS,2001,4,5,N/A,45,9,21,0,0,0,N/A,N/A,0,0,0
STLTE0090,OAK,2001,4,2,N/A,14,7,9,0,0,0,N/A,N/A,0,0,0
NWETE0097,MIA,2001,4,1,N/A,14,14,14,1,0,0,N/A,N/A,0,0,0
